Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ4,1,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_1.mat,done,1.16841758521313,376.1880662,300,30,377.6132306
DTLZ4,2,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_2.mat,done,1.09662191528022,362.6006683,300,30,364.5579371
DTLZ4,3,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_3.mat,done,1.20300016050459,381.8663044,300,30,383.4142657
DTLZ4,4,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_4.mat,done,0.957723050009069,370.8790455,300,30,372.505065
DTLZ4,5,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_5.mat,done,1.15709957122087,361.1788623,300,30,363.0992466
DTLZ4,6,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_6.mat,done,1.07570653142987,366.4658353,300,30,368.2953407
DTLZ4,7,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_7.mat,done,1.08074985933475,358.3340914,300,30,359.7448084
DTLZ4,8,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_8.mat,done,1.14873521084717,389.3993813,300,30,390.9194897
DTLZ4,9,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_9.mat,done,1.07676024318775,400.9917974,300,30,402.5405013
DTLZ4,10,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M15_D30_10.mat,done,0.947003118112869,393.5577547,300,30,395.1218007
