Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ2,11,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_11.mat,done,1.07597405126804,323.6118455,300,30,325.0662074
DTLZ2,12,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_12.mat,done,1.06227215767033,368.2451596,300,30,369.6555119
DTLZ2,13,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_13.mat,done,1.15204705294137,382.4132323,300,30,383.862812
DTLZ2,14,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_14.mat,done,1.07810683317076,369.5799384,300,30,370.8631065
DTLZ2,15,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_15.mat,done,1.00915536732966,363.1017471,300,30,364.6491928
DTLZ2,16,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_16.mat,done,1.15692619378197,357.259497,300,30,358.6874401
DTLZ2,17,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_17.mat,done,1.10490452347378,369.6091903,300,30,370.9780923
DTLZ2,18,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_18.mat,done,0.980423446004841,378.2178436,300,30,379.7207491
DTLZ2,19,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_19.mat,done,0.986889740306258,390.1339415,300,30,391.5725876
DTLZ2,20,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ2_M15_D30_20.mat,done,1.08539733364156,391.6418746,300,30,392.9930145
