Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ3,11,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_11.mat,done,676.202900360365,350.0678348,300,30,351.6711665
DTLZ3,12,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_12.mat,done,551.668757227916,358.4066753,300,30,360.0613152
DTLZ3,13,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_13.mat,done,609.267321507133,391.5095143,300,30,392.9519536
DTLZ3,14,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_14.mat,done,519.767186272238,352.7834236,300,30,354.0907808
DTLZ3,15,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_15.mat,done,571.860501983513,358.0028403,300,30,359.3078719
DTLZ3,16,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_16.mat,done,556.909370585075,359.3558126,300,30,360.5457614
DTLZ3,17,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_17.mat,done,547.633681033892,352.3048651,300,30,353.7860964
DTLZ3,18,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_18.mat,done,637.578653848056,359.1178634,300,30,360.775275
DTLZ3,19,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_19.mat,done,629.574310543809,393.8027634,300,30,395.1149544
DTLZ3,20,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ3_M15_D30_20.mat,done,509.245235790365,389.547188,300,30,390.9698627
