Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
WFG4,11,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_11.mat,done,13.9261911086634,411.19292,300,30,412.9275496
WFG4,12,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_12.mat,done,11.9752223026393,397.6464656,300,30,399.4556235
WFG4,13,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_13.mat,done,15.4833224398523,363.1068947,300,30,364.7037617
WFG4,14,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_14.mat,done,13.1910233684289,370.6540513,300,30,372.1315403
WFG4,15,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_15.mat,done,13.263918096673,361.4503752,300,30,363.1062589
WFG4,16,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_16.mat,done,13.0654518728108,366.3419971,300,30,367.850177
WFG4,17,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_17.mat,done,12.9883554113902,383.1152908,300,30,384.5474663
WFG4,18,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_18.mat,done,13.9022893342061,353.7183075,300,30,355.2718897
WFG4,19,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_19.mat,done,12.3196904474166,385.250273,300,30,386.9122293
WFG4,20,D:\REMOandDREMO测试集\15目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M15_D30_20.mat,done,12.5281129475645,369.9865663,300,30,371.6688674
