========== REMO_new2_PIEA4 启动 ==========
时间=2026-05-06 02:34:31 | 问题=WFG9 | M=10 | D=30 | maxFE=300
日志文件=D:\PlatEMO-master\PlatEMO-master\PlatEMO\Algorithms\Multi-objective optimization\REMO_new2_PIEA4\REMO_new2_PIEA4_debug.log
==========================================
[Gen   5 | FE= 140/ 300] p_err=0.033 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   5 | FE= 140/ 300] p_err=0.026 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.046 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.021 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.060 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.008 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.010 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.019 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   6 | FE= 148/ 300] p_err=0.010 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.069 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.073 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.029 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.013 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.030 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.043 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.048 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   7 | FE= 156/ 300] p_err=0.009 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.028 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.022 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.040 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.012 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.059 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.037 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   8 | FE= 164/ 300] p_err=0.010 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.082 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.004 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.039 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.028 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=6.50 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.017 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.102 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen   9 | FE= 172/ 300] p_err=0.013 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.038 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.242 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.038 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=6.50 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.031 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.068 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.048 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  10 | FE= 180/ 300] p_err=0.026 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.031 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.020 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.060 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.031 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.070 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.065 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  11 | FE= 188/ 300] p_err=0.060 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.021 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.063 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.016 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.338 I+=0.338 MD=0.323] | Lp=6.50 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.015 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.026 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.072 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  12 | FE= 196/ 300] p_err=0.119 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.026 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.007 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.026 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.344 I+=0.344 MD=0.312] | Lp=4.20 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.043 | 指标=MD     | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.065 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.074 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  13 | FE= 204/ 300] p_err=0.036 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.003 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.337 I+=0.337 MD=0.326] | Lp=3.10 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.052 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.022 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.345 I+=0.345 MD=0.310] | Lp=4.20 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.063 | 指标=MD     | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.029 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.020 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  14 | FE= 212/ 300] p_err=0.042 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.100 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.337 I+=0.337 MD=0.326] | Lp=3.10 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.051 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=3.10 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.089 | 指标=MD     | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.024 | 指标=MD     | score=2(极优) | Pw=[SDE=0.345 I+=0.345 MD=0.310] | Lp=4.20 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.095 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.080 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.031 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.337 I+=0.337 MD=0.325] | Lp=3.10 | n_eval=8
[Gen  15 | FE= 220/ 300] p_err=0.012 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.027 | 指标=MD     | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=3.10 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.041 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=3.10 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.063 | 指标=MD     | score=2(极优) | Pw=[SDE=0.345 I+=0.345 MD=0.310] | Lp=4.20 | n_eval=8
