Problem,Run,IGDp_first,IGDp_final,IGDrelCheck
DTLZ1,1,272.544528047587,154.025752286609,0
DTLZ1,2,263.014338298631,161.800175811196,0
DTLZ1,3,277.300983177554,153.739410823539,0
DTLZ1,4,281.977610313695,172.082046491971,0
DTLZ1,5,237.578759225181,179.589499393765,0
DTLZ1,6,317.913416029466,142.389321776328,0
DTLZ1,7,277.229482383128,132.359743268968,0
DTLZ1,8,268.128783180244,146.775187684364,0
DTLZ1,9,258.612250626968,107.436587878751,0
DTLZ1,10,313.155433179969,179.020769794777,0
DTLZ1,11,371.844204011018,158.066757716129,0
DTLZ1,12,253.259847679715,103.577616962008,0
DTLZ1,13,282.77579896493,155.747469528731,0
DTLZ1,14,269.259878675665,129.52891161857,0
DTLZ1,15,334.458013148694,131.065100798558,0
DTLZ1,16,322.474161866863,112.215606164736,0
DTLZ1,17,242.245155615287,143.795802952176,0
DTLZ1,18,275.21085576989,103.331532451337,0
DTLZ1,19,305.18967802096,112.47469324842,0
DTLZ1,20,317.739746512692,136.074846145614,0
DTLZ2,1,1.47902220012302,0.842037371968878,0
DTLZ2,2,1.32827739493505,0.822815990323026,0
DTLZ2,3,1.3378102558313,0.838518620042508,0
DTLZ2,4,1.29284747069568,0.813714835241315,0
DTLZ2,5,1.31639187279393,0.870240493968926,0
DTLZ2,6,1.33754558814086,0.813366735895785,0
DTLZ2,7,1.41706787521847,0.806266348788124,0
DTLZ2,8,1.42743839766731,0.735101901004528,0
DTLZ2,9,1.27241131440417,0.831567431800558,0
DTLZ2,10,1.39749304393539,0.857675125901743,0
DTLZ2,11,1.46659418118032,0.819790795548624,0
DTLZ2,12,1.50496549472578,0.808286472404823,0
DTLZ2,13,1.37196545182272,0.876547926936493,0
DTLZ2,14,1.42113030889369,0.814531233526392,0
DTLZ2,15,1.2604145409558,0.726991219130844,0
DTLZ2,16,1.29140448156121,0.889408947163447,0
DTLZ2,17,1.34676929788281,0.837922231134048,0
DTLZ2,18,1.38532599365199,0.732910690782953,0
DTLZ2,19,1.33256546152679,0.805569338962551,0
DTLZ2,20,1.35319083912317,0.811409911567001,0
