Problem,MeanFinalIGD,MeanRuntime
DTLZ1,140.754876792635,357.071485565
DTLZ2,1.06937683595683,367.84551652
DTLZ3,592.537260985225,366.324313935
DTLZ4,1.10680322048328,374.395945575
DTLZ5,0.448248291328759,373.258802735
DTLZ6,11.0738401938569,359.04867508
DTLZ7,18.6240079712655,378.379030475
WFG1,4.14290614247011,387.175990125
WFG2,3.49850794834498,382.68293455
WFG3,2.25009955406984,361.788356525
WFG4,13.6776583977283,377.40707379
WFG5,12.8277175955239,375.458489705
WFG6,10.3210670300648,309.744771135
WFG7,11.5131175605475,311.363608435
WFG8,11.677890187463,303.18106075
WFG9,13.3352511867238,306.636559775
