problem,M,run,stage,gen,ratio,mean_conf,acc_conv,acc_hyb,auc_conv,auc_hyb,auc_pair_conv,auc_pair_hyb,acc_pair_conv,acc_pair_hyb,n_pairs
DTLZ1,10,1,1,0,0.333333333333333,0.31067518653506,0.74,0.62,0.604989604989605,0.427843803056027,0.59754542911092,0.476891364698657,0.577171717171717,0.451111111111111,9900
DTLZ1,10,1,2,2,0.5,0.420356150179306,0.74,0.64,0.628898128898129,0.556423611111111,0.582635319056923,0.536161781228328,0.577171717171717,0.469090909090909,9900
DTLZ1,10,1,3,5,0.666666666666667,0.629657960574299,0.8,0.6,0.70125,0.612083333333333,0.585323438914027,0.576306478405316,0.656565656565657,0.434343434343434,9900
DTLZ1,10,1,4,10,0.833333333333333,0.609732283437624,0.76,0.62,0.663925438596491,0.699066213921901,0.556136957244824,0.617797974999757,0.602424242424242,0.451111111111111,9900
DTLZ1,10,1,5,20,1,0.430604670180729,0.7,0.62,0.687142857142857,0.699915110356537,0.609545765488991,0.602261292576422,0.53030303030303,0.451111111111111,9900
DTLZ1,10,2,1,0,0.333333333333333,0.649841725732684,0.7,0.62,0.870476190476191,0.817062818336163,0.747661730670763,0.696305344548209,0.53030303030303,0.451111111111111,9900
DTLZ1,10,2,2,2,0.5,0.520120064476832,0.72,0.56,0.72718253968254,0.636769480519481,0.634141980062267,0.548312610049381,0.553131313131313,0.404444444444444,9900
DTLZ1,10,2,3,5,0.666666666666667,0.539938563523343,0.84,0.68,0.613839285714286,0.651194852941177,0.537196699668908,0.601129107269763,0.715555555555556,0.508686868686869,9900
DTLZ1,10,2,4,10,0.833333333333333,0.530134662944186,0.8,0.68,0.6525,0.750459558823529,0.57826407239819,0.651794415733038,0.656565656565657,0.508686868686869,9900
DTLZ1,10,2,5,20,1,0.480508695903165,0.56,0.6,0.853896103896104,0.743333333333333,0.679689543834727,0.646409468438538,0.404444444444444,0.434343434343434,9900
DTLZ1,10,3,1,0,0.333333333333333,0.550028986996796,0.68,0.58,0.606158088235294,0.702380952380952,0.504694979045608,0.607201248956032,0.508686868686869,0.418787878787879,9900
DTLZ1,10,3,2,2,0.5,0.430268946934581,0.76,0.66,0.536184210526316,0.689393939393939,0.49732183752924,0.612637553348346,0.602424242424242,0.488282828282828,9900
DTLZ1,10,3,3,5,0.666666666666667,0.400578778513863,0.76,0.62,0.648574561403509,0.665110356536503,0.602041790035607,0.595407562244718,0.602424242424242,0.451111111111111,9900
