Problem,M,Run,Seed,Stage,anchor_margin,score_hybrid,score_v,Hybrid - Direction,Hybrid - Margin
DTLZ2,10,12,11012,"S1_[0,0.25]",0.064,0.04,0.04,0.0,-0.024
DTLZ2,10,12,11012,"S2_(0.25,0.50]",0.0647619047619048,0.127619047619048,0.12952380952381,-0.0019047619047620201,0.0628571428571432
DTLZ2,10,12,11012,"S3_(0.50,0.75]",0.28,0.36,0.358,0.0020000000000000018,0.07999999999999996
DTLZ2,10,12,11012,"S4_(0.75,1.00]",0.775238095238096,0.862857142857143,0.878095238095238,-0.01523809523809505,0.08761904761904704
DTLZ2,10,13,11013,"S1_[0,0.25]",0.04,0.04,0.04,0.0,0.0
DTLZ2,10,13,11013,"S2_(0.25,0.50]",0.0685714285714286,0.0914285714285714,0.060952380952381,0.0304761904761904,0.022857142857142798
DTLZ2,10,13,11013,"S3_(0.50,0.75]",0.332,0.332,0.304,0.028000000000000025,0.0
DTLZ2,10,13,11013,"S4_(0.75,1.00]",0.687619047619048,0.584761904761905,0.563809523809524,0.020952380952381056,-0.10285714285714298
DTLZ2,10,14,11014,"S1_[0,0.25]",0.08,0.184,0.144,0.04000000000000001,0.104
DTLZ2,10,14,11014,"S2_(0.25,0.50]",0.125714285714286,0.118095238095238,0.108571428571429,0.009523809523809004,-0.007619047619047997
DTLZ2,10,14,11014,"S3_(0.50,0.75]",0.222,0.19,0.182,0.008000000000000007,-0.032
DTLZ2,10,14,11014,"S4_(0.75,1.00]",0.56,0.626666666666667,0.598095238095238,0.028571428571429025,0.06666666666666698
DTLZ2,10,15,11015,"S1_[0,0.25]",0.016,0.024,0.048,-0.024,0.008
DTLZ2,10,15,11015,"S2_(0.25,0.50]",0.0990476190476191,0.127619047619048,0.12952380952381,-0.0019047619047620201,0.028571428571428886
DTLZ2,10,15,11015,"S3_(0.50,0.75]",0.174,0.232,0.204,0.028000000000000025,0.058000000000000024
DTLZ2,10,15,11015,"S4_(0.75,1.00]",0.531428571428571,0.544761904761905,0.535238095238095,0.009523809523810045,0.013333333333333974
DTLZ2,10,16,11016,"S1_[0,0.25]",0.064,0.04,0.032,0.008,-0.024
DTLZ2,10,16,11016,"S2_(0.25,0.50]",0.104761904761905,0.152380952380952,0.150476190476191,0.0019047619047609932,0.047619047619047006
DTLZ2,10,16,11016,"S3_(0.50,0.75]",0.276,0.29,0.258,0.03199999999999997,0.013999999999999957
DTLZ2,10,16,11016,"S4_(0.75,1.00]",0.695238095238095,0.72952380952381,0.687619047619048,0.041904761904762,0.03428571428571503
DTLZ2,10,17,11017,"S1_[0,0.25]",0.016,0.024,0.024,0.0,0.008
DTLZ2,10,17,11017,"S2_(0.25,0.50]",0.0495238095238095,0.118095238095238,0.118095238095238,0.0,0.0685714285714285
DTLZ2,10,17,11017,"S3_(0.50,0.75]",0.258,0.378,0.364,0.014000000000000012,0.12
DTLZ2,10,17,11017,"S4_(0.75,1.00]",0.64,0.659047619047619,0.626666666666667,0.032380952380951955,0.01904761904761898
DTLZ2,10,18,11018,"S1_[0,0.25]",0.08,0.08,0.04,0.04,0.0
DTLZ2,10,18,11018,"S2_(0.25,0.50]",0.100952380952381,0.156190476190476,0.148571428571429,0.007619047619046998,0.05523809523809499
DTLZ2,10,18,11018,"S3_(0.50,0.75]",0.368,0.496,0.364,0.132,0.128
DTLZ2,10,18,11018,"S4_(0.75,1.00]",0.657142857142857,0.68952380952381,0.693333333333334,-0.0038095238095240402,0.032380952380952954
DTLZ2,10,19,11019,"S1_[0,0.25]",0.024,0.04,0.04,0.0,0.016
DTLZ2,10,19,11019,"S2_(0.25,0.50]",0.104761904761905,0.148571428571429,0.188571428571429,-0.04000000000000001,0.04380952380952399
DTLZ2,10,19,11019,"S3_(0.50,0.75]",0.366,0.406,0.41,-0.003999999999999948,0.040000000000000036
DTLZ2,10,19,11019,"S4_(0.75,1.00]",0.676190476190476,0.744761904761905,0.706666666666667,0.03809523809523796,0.06857142857142895
DTLZ2,10,20,11020,"S1_[0,0.25]",0.072,0.096,0.096,0.0,0.024000000000000007
DTLZ2,10,20,11020,"S2_(0.25,0.50]",0.167619047619048,0.175238095238095,0.171428571428571,0.0038095238095239847,0.007619047619046998
DTLZ2,10,20,11020,"S3_(0.50,0.75]",0.216,0.232,0.25,-0.017999999999999988,0.016000000000000014
DTLZ2,10,20,11020,"S4_(0.75,1.00]",0.641904761904762,0.681904761904762,0.678095238095238,0.0038095238095240402,0.040000000000000036
DTLZ2,10,21,11021,"S1_[0,0.25]",0.176,0.112,0.056,0.056,-0.06399999999999999
DTLZ2,10,21,11021,"S2_(0.25,0.50]",0.121904761904762,0.0533333333333333,0.0438095238095238,0.009523809523809504,-0.0685714285714287
DTLZ2,10,21,11021,"S3_(0.50,0.75]",0.178,0.29,0.344,-0.05399999999999999,0.11199999999999999
DTLZ2,10,21,11021,"S4_(0.75,1.00]",0.687619047619048,0.794285714285714,0.794285714285714,0.0,0.10666666666666602
DTLZ2,10,22,11022,"S1_[0,0.25]",0.016,0.08,0.056,0.024,0.064
DTLZ2,10,22,11022,"S2_(0.25,0.50]",0.137142857142857,0.186666666666667,0.180952380952381,0.005714285714286005,0.04952380952381
DTLZ2,10,22,11022,"S3_(0.50,0.75]",0.25,0.34,0.342,-0.0020000000000000018,0.09000000000000002
DTLZ2,10,22,11022,"S4_(0.75,1.00]",0.695238095238095,0.620952380952381,0.605714285714286,0.01523809523809505,-0.07428571428571396
DTLZ2,10,23,11023,"S1_[0,0.25]",0.064,0.104,0.08,0.023999999999999994,0.039999999999999994
DTLZ2,10,23,11023,"S2_(0.25,0.50]",0.146666666666667,0.222857142857143,0.167619047619048,0.055238095238095,0.076190476190476
DTLZ2,10,23,11023,"S3_(0.50,0.75]",0.338,0.298,0.254,0.043999999999999984,-0.040000000000000036
DTLZ2,10,23,11023,"S4_(0.75,1.00]",0.533333333333333,0.556190476190476,0.561904761904762,-0.005714285714286005,0.02285714285714302
DTLZ2,10,24,11024,"S1_[0,0.25]",0.144,0.216,0.192,0.023999999999999994,0.07200000000000001
DTLZ2,10,24,11024,"S2_(0.25,0.50]",0.213333333333333,0.140952380952381,0.12,0.020952380952381,-0.07238095238095199
DTLZ2,10,24,11024,"S3_(0.50,0.75]",0.344,0.348,0.36,-0.01200000000000001,0.0040000000000000036
