stage,view,mean,low,high,n
"S1_[0,0.25]",score_hybrid,0.085472,0.07875120000000002,0.09212880000000002,250
"S1_[0,0.25]",score_v,0.059488,0.053664000000000024,0.06556880000000004,250
"S1_[0,0.25]",anchor_margin,0.07948799999999999,0.07379200000000002,0.08550400000000002,250
"S1_[0,0.25]",Hybrid - Direction,0.025983999999999997,0.022175200000000003,0.02972800000000001,250
"S1_[0,0.25]",Hybrid - Margin,0.005983999999999999,0.0008000000000000014,0.011008,250
"S2_(0.25,0.50]",score_hybrid,0.11804190476190482,0.11202266666666666,0.12401600000000002,250
"S2_(0.25,0.50]",score_v,0.10751238095238098,0.10108952380952385,0.11419523809523811,250
"S2_(0.25,0.50]",anchor_margin,0.12413714285714288,0.11775980952380954,0.13078952380952383,250
"S2_(0.25,0.50]",Hybrid - Direction,0.010529523809523784,0.006582857142857117,0.014468952380952395,250
"S2_(0.25,0.50]",Hybrid - Margin,-0.00609523809523811,-0.01193142857142857,-0.00013714285714288625,250
"S3_(0.50,0.75]",score_hybrid,0.29011200000000004,0.2815358,0.2984886,250
"S3_(0.50,0.75]",score_v,0.28834400000000004,0.2792636,0.29760159999999997,250
"S3_(0.50,0.75]",anchor_margin,0.271256,0.26263980000000003,0.28009660000000003,250
"S3_(0.50,0.75]",Hybrid - Direction,0.0017679999999999974,-0.004791999999999995,0.008416200000000006,250
"S3_(0.50,0.75]",Hybrid - Margin,0.018855999999999998,0.01111179999999999,0.026304600000000015,250
"S4_(0.75,1.00]",score_hybrid,0.6543085714285715,0.6459805714285716,0.6630571428571428,250
"S4_(0.75,1.00]",score_v,0.6545828571428572,0.6450198095238097,0.6645260952380954,250
"S4_(0.75,1.00]",anchor_margin,0.6297980952380953,0.6210129523809523,0.6387885714285715,250
"S4_(0.75,1.00]",Hybrid - Direction,-0.0002742857142857033,-0.0060499047619047746,0.005356952380952402,250
"S4_(0.75,1.00]",Hybrid - Margin,0.024510476190476218,0.01763047619047623,0.03132209523809529,250
