Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,3,11003,"S2_(0.25,0.50]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.11047619047619,0.180852061922385,0.159047619047619,0.723408247689539,0.476888702103126,0.11047619047619
DTLZ2,10,3,11003,"S2_(0.25,0.50]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.104761904761905,0.17034494634561,0.159047619047619,0.681379785382439,0.466288110372772,0.104761904761905
DTLZ2,10,3,11003,"S2_(0.25,0.50]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.0838095238095238,0.139070934266644,0.159047619047619,0.556283737066576,0.417889172963383,0.0838095238095238
DTLZ2,10,3,11003,"S3_(0.50,0.75]",anchor_margin,top25,population_final,retention,FINAL,20,20,0.25,0.402,0.328249066041652,0.314,1.31299626416661,0.613781392978129,0.402
DTLZ2,10,3,11003,"S3_(0.50,0.75]",score_hybrid,top25,population_final,retention,FINAL,20,20,0.25,0.382,0.291539125053165,0.314,1.16615650021266,0.563236653537761,0.382
DTLZ2,10,3,11003,"S3_(0.50,0.75]",score_v,top25,population_final,retention,FINAL,20,20,0.25,0.336,0.243834188347193,0.314,0.975336753388773,0.450530592166011,0.336
DTLZ2,10,3,11003,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.678095238095238,0.243776912790606,0.706190476190476,0.975107651162426,0.462942407065737,0.678095238095238
DTLZ2,10,3,11003,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.779047619047619,0.281391444681273,0.706190476190476,1.12556577872509,0.543924785176556,0.779047619047619
DTLZ2,10,3,11003,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.784761904761905,0.28267485835113,0.706190476190476,1.13069943340452,0.558620944181299,0.784761904761905
DTLZ2,10,4,11004,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.056,0.26,0.056,1.04,0.682070175438596,0.056
DTLZ2,10,4,11004,"S1_[0,0.25]",score_hybrid,top25,population_final,retention,FINAL,5,5,0.25,0.08,0.36,0.056,1.44,0.752402388951101,0.08
DTLZ2,10,4,11004,"S1_[0,0.25]",score_v,top25,population_final,retention,FINAL,5,5,0.25,0.104,0.46,0.056,1.84,0.71262187383352,0.104
DTLZ2,10,4,11004,"S2_(0.25,0.50]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.100952380952381,0.266586323729181,0.0957142857142857,1.06634529491672,0.505632891457363,0.100952380952381
DTLZ2,10,4,11004,"S2_(0.25,0.50]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.106666666666667,0.278319299747871,0.0957142857142857,1.11327719899148,0.52941562550387,0.106666666666667
DTLZ2,10,4,11004,"S2_(0.25,0.50]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.0990476190476191,0.266509020080449,0.0957142857142857,1.06603608032179,0.523691185159969,0.0990476190476191
DTLZ2,10,4,11004,"S3_(0.50,0.75]",anchor_margin,top25,population_final,retention,FINAL,20,20,0.25,0.268,0.241509334729803,0.276,0.966037338919213,0.539327824918295,0.268
DTLZ2,10,4,11004,"S3_(0.50,0.75]",score_hybrid,top25,population_final,retention,FINAL,20,20,0.25,0.358,0.326105850901931,0.276,1.30442340360772,0.576812463573805,0.358
DTLZ2,10,4,11004,"S3_(0.50,0.75]",score_v,top25,population_final,retention,FINAL,20,20,0.25,0.364,0.333071872189177,0.276,1.33228748875671,0.591475292175101,0.364
DTLZ2,10,4,11004,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.777142857142857,0.295476538151707,0.661428571428571,1.18190615260683,0.65609191543477,0.777142857142857
DTLZ2,10,4,11004,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.826666666666667,0.317815895738084,0.661428571428571,1.27126358295234,0.659339615224011,0.826666666666667
DTLZ2,10,4,11004,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.857142857142857,0.330748780255193,0.661428571428571,1.32299512102077,0.650959247969483,0.857142857142857
DTLZ2,10,5,11005,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.048,0.243333333333333,0.05,0.973333333333333,0.62530936216872,0.048
