Problem,Run,Arm,IGD_ratio_to_V1
WFG3,4,V2_EXPLORE_ONLY,0.9956133989501365
WFG3,5,V2_EXPLORE_ONLY,0.9258448947154496
WFG3,6,V2_EXPLORE_ONLY,0.999444799692686
WFG3,7,V2_EXPLORE_ONLY,0.9795920080743117
WFG3,8,V2_EXPLORE_ONLY,0.9520156735502173
WFG3,9,V2_EXPLORE_ONLY,0.9368642422388805
WFG3,10,V2_EXPLORE_ONLY,0.9815316653092424
WFG3,1,V3_INDICATOR_ONLY,0.986384314325844
WFG3,2,V3_INDICATOR_ONLY,0.9427176547145367
WFG3,3,V3_INDICATOR_ONLY,1.0343048641467143
WFG3,4,V3_INDICATOR_ONLY,0.9519359076107962
WFG3,5,V3_INDICATOR_ONLY,0.9154707849233352
WFG3,6,V3_INDICATOR_ONLY,0.8845231179539305
WFG3,7,V3_INDICATOR_ONLY,0.9824151376696304
WFG3,8,V3_INDICATOR_ONLY,0.9129757392047404
WFG3,9,V3_INDICATOR_ONLY,0.8821141353886095
WFG3,10,V3_INDICATOR_ONLY,0.890313228330695
WFG3,1,V4_FULL,0.9868584485945399
WFG3,2,V4_FULL,0.9969318995260034
WFG3,3,V4_FULL,0.998124730561426
WFG3,4,V4_FULL,0.9621688906188967
WFG3,5,V4_FULL,0.9317903567665172
WFG3,6,V4_FULL,0.9745403281286055
WFG3,7,V4_FULL,1.0284775436878144
WFG3,8,V4_FULL,0.9501924170249744
WFG3,9,V4_FULL,0.9047470051945758
WFG3,10,V4_FULL,0.9714733307043592
WFG7,1,V0_REMO_RULE,0.9722869366928785
WFG7,2,V0_REMO_RULE,1.0406272623671522
WFG7,3,V0_REMO_RULE,0.9482876417210638
WFG7,4,V0_REMO_RULE,0.990267901908628
WFG7,5,V0_REMO_RULE,0.9179095377964842
WFG7,6,V0_REMO_RULE,1.0235166597796221
WFG7,7,V0_REMO_RULE,0.9981984952590058
WFG7,8,V0_REMO_RULE,1.0206777618495306
WFG7,9,V0_REMO_RULE,1.010368461716814
WFG7,10,V0_REMO_RULE,0.9533654544916078
WFG7,1,V2_EXPLORE_ONLY,1.0044396360765355
WFG7,2,V2_EXPLORE_ONLY,1.0527506223640173
WFG7,3,V2_EXPLORE_ONLY,0.9200401028711633
WFG7,4,V2_EXPLORE_ONLY,1.1403574729612242
WFG7,5,V2_EXPLORE_ONLY,0.9127646875962268
WFG7,6,V2_EXPLORE_ONLY,0.9946349666770461
WFG7,7,V2_EXPLORE_ONLY,0.9693432516476209
WFG7,8,V2_EXPLORE_ONLY,1.0951644529036455
WFG7,9,V2_EXPLORE_ONLY,1.0148022241494494
WFG7,10,V2_EXPLORE_ONLY,1.0009514372953865
WFG7,1,V3_INDICATOR_ONLY,1.0196016608290888
WFG7,2,V3_INDICATOR_ONLY,1.1411922151808753
WFG7,3,V3_INDICATOR_ONLY,1.0179920413655816
WFG7,4,V3_INDICATOR_ONLY,1.0696698678739516
WFG7,5,V3_INDICATOR_ONLY,0.926763917792124
WFG7,6,V3_INDICATOR_ONLY,1.1097420229683703
WFG7,7,V3_INDICATOR_ONLY,1.0019023671421732
WFG7,8,V3_INDICATOR_ONLY,1.053457435301195
WFG7,9,V3_INDICATOR_ONLY,1.1164661115031798
WFG7,10,V3_INDICATOR_ONLY,1.0191872422466741
WFG7,1,V4_FULL,1.047073936093118
WFG7,2,V4_FULL,1.0172631997725943
WFG7,3,V4_FULL,0.9638932181488018
WFG7,4,V4_FULL,0.8927482328290958
WFG7,5,V4_FULL,0.9468729403712745
WFG7,6,V4_FULL,1.0051381392921817
WFG7,7,V4_FULL,0.9482683524239328
WFG7,8,V4_FULL,0.9433003440227781
WFG7,9,V4_FULL,1.039206662121753
WFG7,10,V4_FULL,0.8487289273500334
