Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ1,11,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_11.mat,done,241.753102232277,324.01715,300,30,325.3296478
DTLZ1,12,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_12.mat,done,200.320501908025,394.931697,300,30,397.1080234
DTLZ1,13,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_13.mat,done,213.727812614408,380.5028512,300,30,382.2017788
DTLZ1,14,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_14.mat,done,218.52669084005,430.7910544,300,30,432.6149183
DTLZ1,15,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_15.mat,done,225.036131367495,426.4075877,300,30,428.1000851
DTLZ1,16,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_16.mat,done,181.576034635357,432.1776124,300,30,434.0230756
DTLZ1,17,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_17.mat,done,143.034952742728,416.1493445,300,30,417.6038074
DTLZ1,18,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_18.mat,done,210.935003512839,405.2988365,300,30,406.7995342
DTLZ1,19,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_19.mat,done,159.000000309792,379.0672836,300,30,380.4873676
DTLZ1,20,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ1_M10_D30_20.mat,done,219.940318695463,370.4955861,300,30,371.8907034
