Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
WFG4,1,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_1.mat,done,5.74146538243021,389.0422742,300,30,390.6952389
WFG4,2,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_2.mat,done,6.53314263325607,381.0561577,300,30,382.4800766
WFG4,3,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_3.mat,done,6.98114209807548,375.0119519,300,30,376.5920991
WFG4,4,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_4.mat,done,6.67441082017606,381.1776934,300,30,382.7365671
WFG4,5,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_5.mat,done,5.82802403735525,405.5085793,300,30,407.1621364
WFG4,6,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_6.mat,done,6.92659604562834,383.0401972,300,30,384.7862436
WFG4,7,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_7.mat,done,5.84342430845388,400.4521535,300,30,402.0300706
WFG4,8,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_8.mat,done,6.14274918012599,413.1503188,300,30,414.612274
WFG4,9,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_9.mat,done,6.81343716719536,415.1802023,300,30,416.6589606
WFG4,10,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG4_M10_D30_10.mat,done,6.6711460821891,406.2205115,300,30,407.8510259
