Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ6,11,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_11.mat,done,15.0464499665435,382.9825082,300,30,384.8739115
DTLZ6,12,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_12.mat,done,15.5451710036229,377.2452848,300,30,379.0782403
DTLZ6,13,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_13.mat,done,15.6790671515439,416.84789,300,30,418.7843398
DTLZ6,14,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_14.mat,done,15.5637772743513,411.115986,300,30,413.2381907
DTLZ6,15,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_15.mat,done,16.0217806708752,413.0299775,300,30,414.8883853
DTLZ6,16,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_16.mat,done,15.2200839291287,405.5345549,300,30,407.0328431
DTLZ6,17,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_17.mat,done,16.4541636739465,392.4997353,300,30,394.1409754
DTLZ6,18,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_18.mat,done,13.2837329673711,379.6278599,300,30,381.2622739
DTLZ6,19,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_19.mat,done,14.1009891585069,369.7023754,300,30,371.2882734
DTLZ6,20,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ6_M10_D30_20.mat,done,13.1867026095486,380.6935045,300,30,382.6020649
