Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
WFG2,1,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_1.mat,done,1.54805923068906,410.5588757,300,31,412.2113004
WFG2,2,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_2.mat,done,1.71484639369929,403.5098936,300,31,405.0401405
WFG2,3,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_3.mat,done,1.67157977516796,405.0497356,300,31,406.4519405
WFG2,4,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_4.mat,done,2.24642251244668,404.7306041,300,31,406.0823055
WFG2,5,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_5.mat,done,1.74421273168375,419.2051216,300,31,420.5564
WFG2,6,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_6.mat,done,1.84443476076922,397.71968,300,31,399.1452012
WFG2,7,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_7.mat,done,2.54375489597185,445.5960463,300,31,447.2875576
WFG2,8,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_8.mat,done,1.64405246348567,442.3509185,300,31,443.5369155
WFG2,9,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_9.mat,done,2.26314377289078,445.1501186,300,31,446.446086
WFG2,10,D:\REMOandDREMO测试集\10目标\n30\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG2_M10_D31_10.mat,done,3.78671020825103,431.4115026,300,31,432.8416716
