comparator,problem,n_new,n_comparator,mean_new,mean_comparator,change_pct,p,p_holm4,p_holm_all,test,cliffs_delta_positive_new_better,bootstrap_ci_low_pct,bootstrap_ci_high_pct,outcome_raw,outcome_holm
Lambda020,DTLZ2,10,10,1.142419372598361,1.16952979561384,-2.3180617644076196,0.48125094719521977,0.7053627487064021,1.0,exact,0.2,-8.811696947542385,4.790096266715512,T,T
Lambda020,DTLZ4,10,10,1.1960947540081084,1.2532206317648096,-4.5583256697789505,0.16549394877568255,0.4964818463270476,1.0,exact,0.38,-10.766094099477543,2.294874417612743,T,T
Lambda020,DTLZ5,10,10,0.7090299835814224,0.7386160231822414,-4.005604897840009,0.35268137435320107,0.7053627487064021,1.0,exact,0.26,-14.406445499200686,8.309237785290174,T,T
Lambda020,DTLZ7,10,10,10.271725049513112,8.789936300881603,16.857787109138545,0.08920955205784928,0.3568382082313971,1.0,exact,-0.46,-0.7396013783753111,37.7173264313206,T,T
Weighted,DTLZ2,10,30,1.142419372598361,1.194494427706754,-4.3595896222278,0.15759466388648455,0.15759466388648455,1.0,exact,0.30666666666666664,-9.85046328614334,1.738306012252085,T,T
Weighted,DTLZ4,10,30,1.1960947540081084,1.3062508358362943,-8.432996083609112,0.015111440932873067,0.0453343227986192,0.3777860233218267,exact,0.5133333333333333,-14.188910375157402,-2.4868609329719913,W,W
Weighted,DTLZ5,10,30,0.7090299835814224,0.801508608408058,-11.538070066435713,0.0498152203685011,0.0996304407370022,1.0,exact,0.42,-19.698447948701947,-2.665233034977954,W,T
Weighted,DTLZ7,10,30,10.271725049513112,8.727375847794601,17.69545884870727,0.0027682685727227823,0.01107307429089113,0.07474325146351513,exact,-0.62,6.803972230169193,28.969347799409253,L,L
Original,DTLZ2,10,18,1.142419372598361,1.094627221548273,4.366066374860411,0.15989106240822487,0.4796731872246746,1.0,exact,-0.3333333333333333,-2.048580736016279,11.223383803728112,T,T
Original,DTLZ4,10,18,1.1960947540081084,1.1814016383622314,1.2437019865865429,0.7238598167659951,0.9283640844281574,1.0,exact,-0.08888888888888889,-5.6820567094526995,8.333291777625933,T,T
Original,DTLZ5,10,18,0.7090299835814224,0.6604909494495319,7.348932513359041,0.4641820422140787,0.9283640844281574,1.0,exact,-0.17777777777777778,-5.390300101271175,22.05662760545725,T,T
Original,DTLZ7,10,18,10.271725049513112,12.122418678692757,-15.266702777990648,0.08894476995163493,0.3557790798065397,1.0,exact,0.4,-25.59141718337662,-3.1794702230486416,T,T
Pruned,DTLZ2,10,18,1.142419372598361,1.166810631598551,-2.0904213879825218,0.28622178736595205,0.5724435747319041,1.0,exact,0.25555555555555554,-7.813993628923345,3.8562880308886585,T,T
Pruned,DTLZ4,10,18,1.1960947540081084,1.303760131608434,-8.258066418053456,0.02383322246022475,0.08311566389369593,0.5481641165851692,exact,0.5222222222222223,-14.401048304011281,-1.9924149766993533,W,T
Pruned,DTLZ5,10,18,0.7090299835814224,0.828481981456366,-14.418176924616045,0.020778915973423982,0.08311566389369593,0.4986939833621756,exact,0.5333333333333333,-23.068636968782634,-4.544793812811131,W,T
Pruned,DTLZ7,10,18,10.271725049513112,10.491813553403832,-2.097716498396196,0.7594939004549986,0.7594939004549986,1.0,exact,0.07777777777777778,-12.916655428707577,9.738833658594325,T,T
Weighted_Q080,DTLZ2,10,18,1.142419372598361,1.1808070490905147,-3.250969455316255,0.5241065570585021,0.6636000155450954,1.0,exact,0.15555555555555556,-9.404056157517976,3.321040923646447,T,T
Weighted_Q080,DTLZ5,10,18,0.7090299835814224,0.759644239857539,-6.662889497537505,0.3318000077725477,0.6636000155450954,1.0,exact,0.23333333333333334,-16.35857927382729,4.4297444713694745,T,T
Weighted_Q080,DTLZ7,10,18,10.271725049513112,9.37427941258097,9.573489304444083,0.19086679910478535,0.5726003973143561,1.0,exact,-0.3111111111111111,-0.7515379097504674,20.561348726775766,T,T
REMO,DTLZ2,10,30,1.142419372598361,1.1067786968411506,3.220217000826997,0.4138843114799371,0.4138843114799371,1.0,exact,-0.18,-2.8335646461583175,9.50555732395898,T,T
REMO,DTLZ4,10,30,1.1960947540081084,1.127248987491718,6.1074143583470075,0.057953718944431014,0.17386115683329303,1.0,exact,-0.4066666666666667,-0.5790516525566048,12.78584369078257,T,T
REMO,DTLZ5,10,30,0.7090299835814224,0.6492397645224107,9.209266333677846,0.1770879839765289,0.3541759679530578,1.0,exact,-0.29333333333333333,-1.9055959061213936,21.56131792756093,T,T
REMO,DTLZ7,10,30,10.271725049513112,20.872632177845215,-50.788549513099724,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,1.0,-55.070173603994256,-46.39496993328058,W,W
PIEA,DTLZ2,10,30,1.142419372598361,0.979649905916819,16.615064800033007,2.1928589790369474e-05,4.385717958073895e-05,0.0006578576937110842,exact,-0.8266666666666667,10.272134686242447,23.373037711100213,L,L
