comparator,problem,n_pairs,mean_new,mean_comparator,change_pct,new_better_runs,new_worse_runs,same_runs,rng_state_match,threads_match_known,matlab_version_match,p_signed_rank,p_holm4,paired_bootstrap_ci_low_pct,paired_bootstrap_ci_high_pct
Lambda020,DTLZ2,10,1.142419372598361,1.16952979561384,-2.3180617644076196,6,4,0,10,10,10,0.556640625,1.0,-8.244272770422715,3.6415930000247
Lambda020,DTLZ4,10,1.1960947540081084,1.2532206317648096,-4.5583256697789505,7,3,0,10,10,10,0.232421875,0.697265625,-11.798158385191936,4.2367783042417075
Lambda020,DTLZ5,10,0.7090299835814224,0.7386160231822414,-4.005604897840009,5,5,0,10,10,10,0.6953125,1.0,-15.710425625813036,8.09354807725203
Lambda020,DTLZ7,10,10.271725049513112,8.789936300881603,16.857787109138545,3,7,0,10,10,10,0.16015625,0.640625,-1.2675620845262368,38.55157202907664
Weighted,DTLZ2,10,1.142419372598361,1.177392453585666,-2.970384333685594,5,5,0,10,0,10,0.431640625,0.431640625,-8.45891982606417,2.850828592584004
Weighted,DTLZ4,10,1.1960947540081084,1.3251998310350086,-9.742310103229224,9,1,0,10,0,10,0.02734375,0.08203125,-15.36151056604076,-3.5469351350529195
Weighted,DTLZ5,10,0.7090299835814224,0.7700750490849284,-7.92715795376634,7,3,0,10,0,10,0.10546875,0.2109375,-14.31365618402421,-0.39849412565092374
Weighted,DTLZ7,10,10.271725049513112,8.693105677925859,18.159440711687115,1,9,0,10,0,10,0.01953125,0.078125,7.099770228170897,29.395760002359054
