M,problem,algorithm,source_algorithm,mean,std,symbol,source_file,source_sheet,source_cell,raw
10,DTLZ5,K-RVEA,KRVEA_100,8.9664e-1,9.34e-2,-,pruned_weight十目标.xlsx,IGD,I6,8.9664e-1 (9.34e-2) -
10,DTLZ5,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,8.0151e-1,1.15e-1,,pruned_weight十目标.xlsx,IGD,J6,8.0151e-1 (1.15e-1)
10,DTLZ6,REMO,REMO,1.6552e+1,7.57e-1,-,pruned_weight十目标.xlsx,IGD,D7,1.6552e+1 (7.57e-1) -
10,DTLZ6,PIEA,PIEA,5.3744e+0,1.66e+0,+,pruned_weight十目标.xlsx,IGD,E7,5.3744e+0 (1.66e+0) +
10,DTLZ6,MCEA/D,MCEAD,9.3342e+0,2.10e+0,+,pruned_weight十目标.xlsx,IGD,F7,9.3342e+0 (2.10e+0) +
10,DTLZ6,CSEA,CSEA,1.6013e+1,7.65e-1,-,pruned_weight十目标.xlsx,IGD,G7,1.6013e+1 (7.65e-1) -
10,DTLZ6,PC-SAEA,PCSAEA_N100,1.7409e+1,3.33e-1,-,pruned_weight十目标.xlsx,IGD,H7,1.7409e+1 (3.33e-1) -
10,DTLZ6,K-RVEA,KRVEA_100,1.5648e+1,9.62e-1,-,pruned_weight十目标.xlsx,IGD,I7,1.5648e+1 (9.62e-1) -
10,DTLZ6,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.3916e+1,1.16e+0,,pruned_weight十目标.xlsx,IGD,J7,1.3916e+1 (1.16e+0)
10,DTLZ7,REMO,REMO,2.0873e+1,2.47e+0,-,pruned_weight十目标.xlsx,IGD,D8,2.0873e+1 (2.47e+0) -
10,DTLZ7,PIEA,PIEA,2.0066e+1,5.52e+0,-,pruned_weight十目标.xlsx,IGD,E8,2.0066e+1 (5.52e+0) -
10,DTLZ7,MCEA/D,MCEAD,2.0931e+1,5.34e+0,-,pruned_weight十目标.xlsx,IGD,F8,2.0931e+1 (5.34e+0) -
10,DTLZ7,CSEA,CSEA,2.7355e+1,3.07e+0,-,pruned_weight十目标.xlsx,IGD,G8,2.7355e+1 (3.07e+0) -
10,DTLZ7,PC-SAEA,PCSAEA_N100,2.8795e+1,2.03e+0,-,pruned_weight十目标.xlsx,IGD,H8,2.8795e+1 (2.03e+0) -
10,DTLZ7,K-RVEA,KRVEA_100,1.6495e+0,2.31e-1,+,pruned_weight十目标.xlsx,IGD,I8,1.6495e+0 (2.31e-1) +
10,DTLZ7,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,8.7274e+0,1.25e+0,,pruned_weight十目标.xlsx,IGD,J8,8.7274e+0 (1.25e+0)
10,WFG1,REMO,REMO,3.2303e+0,8.03e-2,-,pruned_weight十目标.xlsx,IGD,D9,3.2303e+0 (8.03e-2) -
10,WFG1,PIEA,PIEA,3.3482e+0,4.81e-2,-,pruned_weight十目标.xlsx,IGD,E9,3.3482e+0 (4.81e-2) -
10,WFG1,MCEA/D,MCEAD,3.4615e+0,3.53e-2,-,pruned_weight十目标.xlsx,IGD,F9,3.4615e+0 (3.53e-2) -
10,WFG1,CSEA,CSEA,3.2776e+0,5.43e-2,-,pruned_weight十目标.xlsx,IGD,G9,3.2776e+0 (5.43e-2) -
10,WFG1,PC-SAEA,PCSAEA_N100,3.3966e+0,3.65e-2,-,pruned_weight十目标.xlsx,IGD,H9,3.3966e+0 (3.65e-2) -
10,WFG1,K-RVEA,KRVEA_100,3.2818e+0,5.30e-2,-,pruned_weight十目标.xlsx,IGD,I9,3.2818e+0 (5.30e-2) -
10,WFG1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,3.1733e+0,5.00e-2,,pruned_weight十目标.xlsx,IGD,J9,3.1733e+0 (5.00e-2)
10,WFG2,REMO,REMO,3.6211e+0,1.04e+0,-,pruned_weight十目标.xlsx,IGD,D10,3.6211e+0 (1.04e+0) -
10,WFG2,PIEA,PIEA,2.3534e+0,4.64e-1,=,pruned_weight十目标.xlsx,IGD,E10,2.3534e+0 (4.64e-1) =
10,WFG2,MCEA/D,MCEAD,3.4153e+0,8.38e-1,-,pruned_weight十目标.xlsx,IGD,F10,3.4153e+0 (8.38e-1) -
10,WFG2,CSEA,CSEA,3.6035e+0,1.05e+0,-,pruned_weight十目标.xlsx,IGD,G10,3.6035e+0 (1.05e+0) -
10,WFG2,PC-SAEA,PCSAEA_N100,3.4704e+0,6.34e-1,-,pruned_weight十目标.xlsx,IGD,H10,3.4704e+0 (6.34e-1) -
10,WFG2,K-RVEA,KRVEA_100,2.0682e+0,1.69e-1,=,pruned_weight十目标.xlsx,IGD,I10,2.0682e+0 (1.69e-1) =
10,WFG2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,2.2239e+0,6.17e-1,,pruned_weight十目标.xlsx,IGD,J10,2.2239e+0 (6.17e-1)
10,WFG3,REMO,REMO,1.5060e+0,1.04e-1,+,pruned_weight十目标.xlsx,IGD,D11,1.5060e+0 (1.04e-1) +
10,WFG3,PIEA,PIEA,1.1805e+0,1.31e-1,+,pruned_weight十目标.xlsx,IGD,E11,1.1805e+0 (1.31e-1) +
10,WFG3,MCEA/D,MCEAD,1.2525e+0,6.31e-2,+,pruned_weight十目标.xlsx,IGD,F11,1.2525e+0 (6.31e-2) +
10,WFG3,CSEA,CSEA,1.5637e+0,7.85e-2,+,pruned_weight十目标.xlsx,IGD,G11,1.5637e+0 (7.85e-2) +
10,WFG3,PC-SAEA,PCSAEA_N100,1.6906e+0,4.28e-2,+,pruned_weight十目标.xlsx,IGD,H11,1.6906e+0 (4.28e-2) +
10,WFG3,K-RVEA,KRVEA_100,1.7645e+0,6.52e-2,=,pruned_weight十目标.xlsx,IGD,I11,1.7645e+0 (6.52e-2) =
10,WFG3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.7344e+0,6.38e-2,,pruned_weight十目标.xlsx,IGD,J11,1.7344e+0 (6.38e-2)
10,WFG4,REMO,REMO,8.4353e+0,1.04e+0,-,pruned_weight十目标.xlsx,IGD,D12,8.4353e+0 (1.04e+0) -
10,WFG4,PIEA,PIEA,5.8923e+0,5.86e-1,+,pruned_weight十目标.xlsx,IGD,E12,5.8923e+0 (5.86e-1) +
10,WFG4,MCEA/D,MCEAD,6.9541e+0,8.10e-1,=,pruned_weight十目标.xlsx,IGD,F12,6.9541e+0 (8.10e-1) =
10,WFG4,CSEA,CSEA,8.9219e+0,9.85e-1,-,pruned_weight十目标.xlsx,IGD,G12,8.9219e+0 (9.85e-1) -
10,WFG4,PC-SAEA,PCSAEA_N100,8.9190e+0,5.65e-1,-,pruned_weight十目标.xlsx,IGD,H12,8.9190e+0 (5.65e-1) -
10,WFG4,K-RVEA,KRVEA_100,6.4543e+0,5.95e-1,=,pruned_weight十目标.xlsx,IGD,I12,6.4543e+0 (5.95e-1) =
10,WFG4,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,6.7139e+0,8.72e-1,,pruned_weight十目标.xlsx,IGD,J12,6.7139e+0 (8.72e-1)
10,WFG5,REMO,REMO,6.9652e+0,5.10e-1,-,pruned_weight十目标.xlsx,IGD,D13,6.9652e+0 (5.10e-1) -
10,WFG5,PIEA,PIEA,5.6747e+0,2.94e-1,=,pruned_weight十目标.xlsx,IGD,E13,5.6747e+0 (2.94e-1) =
10,WFG5,MCEA/D,MCEAD,6.7276e+0,4.33e-1,-,pruned_weight十目标.xlsx,IGD,F13,6.7276e+0 (4.33e-1) -
10,WFG5,CSEA,CSEA,7.2077e+0,4.34e-1,-,pruned_weight十目标.xlsx,IGD,G13,7.2077e+0 (4.34e-1) -
10,WFG5,PC-SAEA,PCSAEA_N100,6.9318e+0,3.48e-1,-,pruned_weight十目标.xlsx,IGD,H13,6.9318e+0 (3.48e-1) -
10,WFG5,K-RVEA,KRVEA_100,5.1504e+0,5.38e-1,+,pruned_weight十目标.xlsx,IGD,I13,5.1504e+0 (5.38e-1) +
10,WFG5,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,5.7836e+0,4.12e-1,,pruned_weight十目标.xlsx,IGD,J13,5.7836e+0 (4.12e-1)
10,WFG6,REMO,REMO,6.4495e+0,5.38e-1,-,pruned_weight十目标.xlsx,IGD,D14,6.4495e+0 (5.38e-1) -
10,WFG6,PIEA,PIEA,5.9649e+0,3.68e-1,-,pruned_weight十目标.xlsx,IGD,E14,5.9649e+0 (3.68e-1) -
10,WFG6,MCEA/D,MCEAD,7.4205e+0,6.74e-1,-,pruned_weight十目标.xlsx,IGD,F14,7.4205e+0 (6.74e-1) -
10,WFG6,CSEA,CSEA,7.3759e+0,5.33e-1,-,pruned_weight十目标.xlsx,IGD,G14,7.3759e+0 (5.33e-1) -
10,WFG6,PC-SAEA,PCSAEA_N100,7.3427e+0,3.12e-1,-,pruned_weight十目标.xlsx,IGD,H14,7.3427e+0 (3.12e-1) -
10,WFG6,K-RVEA,KRVEA_100,5.0744e+0,3.78e-1,+,pruned_weight十目标.xlsx,IGD,I14,5.0744e+0 (3.78e-1) +
10,WFG6,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,5.2787e+0,2.70e-1,,pruned_weight十目标.xlsx,IGD,J14,5.2787e+0 (2.70e-1)
10,WFG7,REMO,REMO,6.4419e+0,7.62e-1,-,pruned_weight十目标.xlsx,IGD,D15,6.4419e+0 (7.62e-1) -
10,WFG7,PIEA,PIEA,6.8590e+0,4.98e-1,-,pruned_weight十目标.xlsx,IGD,E15,6.8590e+0 (4.98e-1) -
10,WFG7,MCEA/D,MCEAD,8.0745e+0,6.07e-1,-,pruned_weight十目标.xlsx,IGD,F15,8.0745e+0 (6.07e-1) -
10,WFG7,CSEA,CSEA,7.4689e+0,5.99e-1,-,pruned_weight十目标.xlsx,IGD,G15,7.4689e+0 (5.99e-1) -
10,WFG7,PC-SAEA,PCSAEA_N100,7.4985e+0,3.78e-1,-,pruned_weight十目标.xlsx,IGD,H15,7.4985e+0 (3.78e-1) -
10,WFG7,K-RVEA,KRVEA_100,6.3622e+0,5.84e-1,-,pruned_weight十目标.xlsx,IGD,I15,6.3622e+0 (5.84e-1) -
10,WFG7,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,5.3539e+0,2.57e-1,,pruned_weight十目标.xlsx,IGD,J15,5.3539e+0 (2.57e-1)
10,WFG8,REMO,REMO,7.0262e+0,4.81e-1,-,pruned_weight十目标.xlsx,IGD,D16,7.0262e+0 (4.81e-1) -
10,WFG8,PIEA,PIEA,6.2652e+0,4.89e-1,-,pruned_weight十目标.xlsx,IGD,E16,6.2652e+0 (4.89e-1) -
10,WFG8,MCEA/D,MCEAD,7.4342e+0,5.26e-1,-,pruned_weight十目标.xlsx,IGD,F16,7.4342e+0 (5.26e-1) -
10,WFG8,CSEA,CSEA,7.8226e+0,3.64e-1,-,pruned_weight十目标.xlsx,IGD,G16,7.8226e+0 (3.64e-1) -
10,WFG8,PC-SAEA,PCSAEA_N100,7.4062e+0,3.60e-1,-,pruned_weight十目标.xlsx,IGD,H16,7.4062e+0 (3.60e-1) -
10,WFG8,K-RVEA,KRVEA_100,6.1149e+0,4.66e-1,-,pruned_weight十目标.xlsx,IGD,I16,6.1149e+0 (4.66e-1) -
10,WFG8,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,5.7019e+0,2.29e-1,,pruned_weight十目标.xlsx,IGD,J16,5.7019e+0 (2.29e-1)
10,WFG9,REMO,REMO,7.7658e+0,6.87e-1,-,pruned_weight十目标.xlsx,IGD,D17,7.7658e+0 (6.87e-1) -
10,WFG9,PIEA,PIEA,5.8137e+0,3.16e-1,+,pruned_weight十目标.xlsx,IGD,E17,5.8137e+0 (3.16e-1) +
10,WFG9,MCEA/D,MCEAD,7.1981e+0,6.44e-1,-,pruned_weight十目标.xlsx,IGD,F17,7.1981e+0 (6.44e-1) -
