comparator,problem,nx,ny,meanQ080,sdQ080,meanOther,sdOther,relativePercent,pExact,pHolm
Original,DTLZ2,18,18,1.18080704909051,0.106115897894674,1.09462722154827,0.0887966235865311,7.8729841397829,0.0187059412767102,0.0561178238301307
Original,DTLZ5,18,18,0.759644239857539,0.128623313241005,0.660490949449532,0.146716396018774,15.0120589071877,0.0470848321126408,0.0579169771716792
Original,DTLZ7,18,18,9.37427941258097,1.22303529582044,12.1224186786928,2.79769106766626,-22.6698923618445,0.00208559094430251,0.00834236377721002
Original,WFG7,18,18,5.47250949947405,0.298893735505941,5.29686401257079,0.256666300626559,3.31602787019658,0.0289584885858396,0.0579169771716792
Pruned_Weighted,DTLZ2,18,18,1.18080704909051,0.106115897894674,1.2060106276405,0.0995191561167723,-2.08983055143476,0.37170655384058,0.428499604187719
Pruned_Weighted,DTLZ5,18,18,0.759644239857539,0.128623313241005,0.829392805717201,0.115744586087465,-8.40959378702936,0.125979378401113,0.37793813520334
Pruned_Weighted,DTLZ7,18,18,9.37427941258097,1.22303529582044,8.79711007305126,1.28488270210331,6.56089709844359,0.21424980209386,0.428499604187719
Pruned_Weighted,WFG7,18,18,5.47250949947405,0.298893735505941,5.33024907468348,0.299073382266525,2.66892640094891,0.0735896091819149,0.29435843672766
Pruned,DTLZ2,18,18,1.18080704909051,0.106115897894674,1.16681063159855,0.0798388733153196,1.19954490582486,0.839069062694856,0.839069062694856
Pruned,DTLZ5,18,18,0.759644239857539,0.128623313241005,0.828481981456366,0.133089398386555,-8.308900270567,0.118201452048875,0.354604356146624
Pruned,DTLZ7,18,18,9.37427941258097,1.22303529582044,10.4918135534038,1.94977046435695,-10.6514868486231,0.0846859889791395,0.338743955916558
Pruned,WFG7,18,18,5.47250949947405,0.298893735505941,5.42871182009667,0.412433368563647,0.806778492371651,0.293092740997481,0.586185481994963
