Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
DTLZ2,10,"S1_[0,0.25]",front_h3,AUC,score_v,anchor_margin,25,25,0.899995148336426,0.752175161309698,0.147819987026728,0.156285278255975,20.1496503838105,1.77348399029039e-05,0.92,0.981538461538462,0.000195083238931942,1
DTLZ2,10,"S1_[0,0.25]",front_h3,Lift,score_hybrid,score_v,25,25,1.34184384819339,1.33823821608977,0.0036056321036197,0,0.260845330998358,0.559509174143555,0.6,0.152631578947368,1,0
DTLZ2,10,"S1_[0,0.25]",front_h3,Lift,score_hybrid,anchor_margin,25,25,1.34184384819339,1.24747693422594,0.0943669139674509,0.0410483573274272,7.29549131347396,0.0019321404776156,0.82,0.754940711462451,0.0212535452537715,1
DTLZ2,10,"S1_[0,0.25]",front_h3,Lift,score_v,anchor_margin,25,25,1.33823821608977,1.24747693422594,0.0907612818638312,0.0302375465166165,7.08318284084765,0.00511026066085587,0.74,0.653333333333333,0.0463382786624968,1
DTLZ2,10,"S1_[0,0.25]",population_final,Precision,score_hybrid,score_v,25,25,0.12352,0.12192,0.0016,0,3.34707618899031,0.8326563561052,0.52,0.0130718954248366,1,0
DTLZ2,10,"S1_[0,0.25]",population_final,Precision,score_hybrid,anchor_margin,25,25,0.12352,0.08064,0.04288,0.032,137.804100760428,0.0012149526114045,0.74,0.733333333333333,0.0133644787254495,1
DTLZ2,10,"S1_[0,0.25]",population_final,Precision,score_v,anchor_margin,25,25,0.12192,0.08064,0.04128,0.04,143.710964708963,0.00719304834638072,0.7,0.63,0.0719304834638071,0
DTLZ2,10,"S1_[0,0.25]",population_final,AUC,score_hybrid,score_v,25,25,0.780649700823946,0.767202107292816,0.0134475935311299,0.00319148936170222,3.26436639074134,0.775096962195985,0.62,0.0666666666666667,0.883409879585385,0
DTLZ2,10,"S1_[0,0.25]",population_final,AUC,score_hybrid,anchor_margin,25,25,0.780649700823946,0.679843131245255,0.100806569578691,0.124083722700315,16.8703959988117,0.000664738019332407,0.72,0.778461538461538,0.00664738019332407,1
DTLZ2,10,"S1_[0,0.25]",population_final,AUC,score_v,anchor_margin,25,25,0.767202107292816,0.679843131245255,0.0873589760475611,0.127408252837284,15.6717301134187,0.0118763818875161,0.76,0.575384615384615,0.0712582913250965,0
DTLZ2,10,"S1_[0,0.25]",population_final,Lift,score_hybrid,score_v,25,25,2.63743202322273,2.46185590343609,0.175576119786646,0,2.81821508608728,0.727351404730591,0.5,0.087719298245614,1,0
DTLZ2,10,"S1_[0,0.25]",population_final,Lift,score_hybrid,anchor_margin,25,25,2.63743202322273,1.65797891492752,0.979453108295213,0.804444444444444,130.035434823867,0.00067300389549799,0.74,0.793333333333333,0.0074030428504779,1
DTLZ2,10,"S1_[0,0.25]",population_final,Lift,score_v,anchor_margin,25,25,2.46185590343609,1.65797891492752,0.803876988508567,0.753968253968254,143.494628232983,0.0134526978573697,0.7,0.576666666666667,0.121074280716327,0
DTLZ2,10,"S1_[0,0.25]",population_h1,Precision,score_hybrid,score_v,25,25,0.99424,0.99424,0,0,0.000516129032258057,1,0.5,0,1,0
DTLZ2,10,"S1_[0,0.25]",population_h1,Precision,score_hybrid,anchor_margin,25,25,0.99424,0.98912,0.00512,0.00800000000000001,0.530546727048394,0.092476103429631,0.68,0.457516339869281,0.729710297545162,0
DTLZ2,10,"S1_[0,0.25]",population_h1,Precision,score_v,anchor_margin,25,25,0.99424,0.98912,0.00512,0,0.530826188568682,0.11138916015625,0.68,0.475,0.729710297545162,0
DTLZ2,10,"S1_[0,0.25]",population_h1,AUC,score_hybrid,score_v,25,25,0.852756773035646,0.861609633467769,-0.00885286043212271,-0.00673758865248231,-0.986923635888308,0.15312745101967,0.42,-0.333333333333333,0.459382353059009,0
DTLZ2,10,"S1_[0,0.25]",population_h1,AUC,score_hybrid,anchor_margin,25,25,0.852756773035646,0.75601330407944,0.0967434689562057,0.0935312377883026,13.1508032971534,1.22903222102484e-05,1,1,0.000147483866522981,1
