Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.524,0.9468719066574,0.581145355144961,0.854,1.11172232546526,0.700088227811715,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.524,0.068656936458794,0.72,0.05,1.37313872917588,0.603157894736842,0.068656936458794
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.524,0.98140782628841,0.544456886898096,0.944,1.03965550385888,0.682228443449048,0.98140782628841
DTLZ2,10,2,11002,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.524,0.943140414060361,0.569107804901536,0.868,1.0871011257287,0.671161045307911,0.943140414060361
DTLZ2,10,2,11002,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.472857142857143,0.264891362346083,0.551263661806949,0.236666666666667,1.168959282716,0.547520400965201,NaN
DTLZ2,10,2,11002,"S2_(0.25,0.50]",label_dyn,native,front_h1,nondominated,H1,21,21,0.472857142857143,0.987955029693096,0.470827415098402,0.992380952380952,0.995289485128867,0.366170198644425,NaN
DTLZ2,10,2,11002,"S2_(0.25,0.50]",label_dyn,native,front_h3,nondominated,H3,21,21,0.472857142857143,0.971653694344142,0.46887506012506,0.98,0.990757932957586,0.456515677609428,NaN
DTLZ2,10,2,11002,"S2_(0.25,0.50]",label_dyn,native,population_final,retention,FINAL,21,21,0.472857142857143,0.137381477500166,0.56610647407861,0.118571428571429,1.19718421686956,0.55175960495484,0.137381477500166
DTLZ2,10,2,11002,"S2_(0.25,0.50]",label_dyn,native,population_h1,retention,H1,21,21,0.472857142857143,0.942817075160679,0.477833342213335,0.934285714285714,1.01012542092721,0.52147087636365,0.942817075160679
DTLZ2,10,2,11002,"S2_(0.25,0.50]",label_dyn,native,population_h3,retention,H3,21,21,0.472857142857143,0.865180398784541,0.488829189599014,0.838571428571428,1.03401410127541,0.540045050678041,0.865180398784541
DTLZ2,10,2,11002,"S3_(0.50,0.75]",label_dyn,native,front_final,nondominated,FINAL,20,20,0.4515,0.626507185609976,0.482909026068699,0.579,1.07169174750342,0.548985183125198,NaN
DTLZ2,10,2,11002,"S3_(0.50,0.75]",label_dyn,native,front_h1,nondominated,H1,20,20,0.4515,0.978988383988384,0.451729211768918,0.9775,1.00133362913683,0.530762705187338,NaN
DTLZ2,10,2,11002,"S3_(0.50,0.75]",label_dyn,native,front_h3,nondominated,H3,20,20,0.4515,0.942912226644272,0.455064417087013,0.933,1.01169540008258,0.52521615482346,NaN
DTLZ2,10,2,11002,"S3_(0.50,0.75]",label_dyn,native,population_final,retention,FINAL,20,20,0.4515,0.334745039919447,0.504670340527737,0.288,1.12466700952074,0.54344436316018,0.334745039919447
DTLZ2,10,2,11002,"S3_(0.50,0.75]",label_dyn,native,population_h1,retention,H1,20,20,0.4515,0.944428104766148,0.459795781713674,0.926,1.02006390039078,0.576269776732399,0.944428104766148
DTLZ2,10,2,11002,"S3_(0.50,0.75]",label_dyn,native,population_h3,retention,H3,20,20,0.4515,0.866470441584558,0.479379880959004,0.8115,1.06950240602249,0.579347299358183,0.866470441584558
DTLZ2,10,2,11002,"S4_(0.75,1.00]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.532380952380953,0.881719207354883,0.561569891709467,0.834761904761905,1.05701195161083,0.587764438813782,NaN
DTLZ2,10,2,11002,"S4_(0.75,1.00]",label_dyn,native,front_h1,nondominated,H1,21,20,0.532380952380953,0.989554251881566,0.531760996244796,0.988,1.00165029790401,0.499800830203997,NaN
DTLZ2,10,2,11002,"S4_(0.75,1.00]",label_dyn,native,front_h3,nondominated,H3,21,18,0.532380952380953,0.970211712377184,0.534760722512399,0.963333333333333,1.00748679751902,0.511224864299281,NaN
DTLZ2,10,2,11002,"S4_(0.75,1.00]",label_dyn,native,population_final,retention,FINAL,21,21,0.532380952380953,0.658774195554035,0.576504915488807,0.609047619047619,1.08309292655751,0.563484048679069,0.658774195554035
DTLZ2,10,2,11002,"S4_(0.75,1.00]",label_dyn,native,population_h1,retention,H1,21,20,0.532380952380953,0.938825919954578,0.536599212097845,0.929,1.01114049837738,0.536737106048922,0.938825919954578
DTLZ2,10,2,11002,"S4_(0.75,1.00]",label_dyn,native,population_h3,retention,H3,21,18,0.532380952380953,0.843002634267417,0.546670129256129,0.818333333333333,1.03088068867656,0.541020899744651,0.843002634267417
DTLZ2,10,3,11003,"S1_[0,0.25]",label_dyn,native,front_final,nondominated,FINAL,5,5,0.594,0.094281921115426,0.78020202020202,0.076,1.33634271172871,0.598549676213894,NaN
