Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,1,11001,"S2_(0.25,0.50]",anchor_margin,top25,population_h1,retention,H1,21,21,0.25,0.939047619047619,0.255517060221095,0.919047619047619,1.02206824088438,0.606675473662085,0.939047619047619
DTLZ2,10,1,11001,"S2_(0.25,0.50]",anchor_margin,top25,population_h3,retention,H3,21,21,0.25,0.864761904761905,0.266238312373148,0.811904761904762,1.06495324949259,0.610783204487411,0.864761904761905
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.534285714285714,0.519981943679428,0.703909789910105,0.403333333333333,1.31188824180378,0.636986962182703,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,front_h1,nondominated,H1,21,21,0.534285714285714,0.993360810270552,0.537970597792624,0.985714285714286,1.00797503748894,0.674881025165687,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,front_h3,nondominated,H3,21,21,0.534285714285714,0.972628306183115,0.546598512362561,0.94952380952381,1.0247774093271,0.633803187909636,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,population_final,retention,FINAL,21,21,0.534285714285714,0.149267761728249,0.801204055825905,0.0976190476190476,1.50951534683906,0.648377357947091,0.149267761728249
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,population_h1,retention,H1,21,21,0.534285714285714,0.94355549260438,0.548785178800336,0.919047619047619,1.02780501627778,0.584989862497441,0.94355549260438
DTLZ2,10,1,11001,"S2_(0.25,0.50]",label_dyn,native,population_h3,retention,H3,21,21,0.534285714285714,0.859003737094684,0.56481056845336,0.811904761904762,1.05961255100704,0.577480607932956,0.859003737094684
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,front_final,nondominated,FINAL,21,21,0.25,0.55047619047619,0.353036958447294,0.403333333333333,1.41214783378918,0.660314320093002,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,front_h1,nondominated,H1,21,21,0.25,0.998095238095238,0.253225458622028,0.985714285714286,1.01290183448811,0.708163441902461,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,front_h3,nondominated,H3,21,21,0.25,0.975238095238095,0.256713071194077,0.94952380952381,1.02685228477631,0.66185253448184,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.234285714285714,0.656601412903934,0.0976190476190476,2.62640565161574,0.760266499347695,0.234285714285714
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,population_h1,retention,H1,21,21,0.25,0.96952380952381,0.264388016831032,0.919047619047619,1.05755206732413,0.647851186337098,0.96952380952381
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_hybrid,top25,population_h3,retention,H3,21,21,0.25,0.906666666666667,0.27965180532006,0.811904761904762,1.11860722128024,0.650585230712903,0.906666666666667
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,front_final,nondominated,FINAL,21,21,0.25,0.455238095238095,0.28488814057387,0.403333333333333,1.13955256229548,0.600755308093321,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,front_h1,nondominated,H1,21,21,0.25,0.998095238095238,0.253225458622028,0.985714285714286,1.01290183448811,0.650718689025073,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,front_h3,nondominated,H3,21,21,0.25,0.977142857142857,0.257230669537762,0.94952380952381,1.02892267815105,0.621864700642797,NaN
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.188571428571429,0.548478583352533,0.0976190476190476,2.19391433341013,0.746119675139563,0.188571428571429
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,population_h1,retention,H1,21,21,0.25,0.975238095238095,0.265922276458595,0.919047619047619,1.06368910583438,0.661798015967304,0.975238095238095
DTLZ2,10,1,11001,"S2_(0.25,0.50]",score_v,top25,population_h3,retention,H3,21,21,0.25,0.92952380952381,0.286931057565245,0.811904761904762,1.14772423026098,0.671539491636139,0.92952380952381
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,front_final,nondominated,FINAL,20,20,0.25,0.704,0.254542817283417,0.6895,1.01817126913367,0.542102187388088,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,front_h1,nondominated,H1,20,20,0.25,0.99,0.252125803996062,0.9815,1.00850321598425,0.626705869827911,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,front_h3,nondominated,H3,20,20,0.25,0.954,0.250130638723301,0.9525,1.0005225548932,0.549033316102118,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,population_final,retention,FINAL,20,20,0.25,0.322,0.33534642792958,0.248,1.34138571171832,0.567686295801428,0.322
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,population_h1,retention,H1,20,20,0.25,0.95,0.253863482208768,0.935,1.01545392883507,0.604311210410997,0.95
DTLZ2,10,1,11001,"S3_(0.50,0.75]",anchor_margin,top25,population_h3,retention,H3,20,20,0.25,0.862,0.256065430850161,0.841,1.02426172340064,0.556764604436066,0.862
DTLZ2,10,1,11001,"S3_(0.50,0.75]",label_dyn,native,front_final,nondominated,FINAL,20,20,0.5125,0.713128976360225,0.526257838722229,0.6895,1.03064956681217,0.530272207953288,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",label_dyn,native,front_h1,nondominated,H1,20,20,0.5125,0.985294928239975,0.514655620052647,0.9815,1.00389503306105,0.565060238932762,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",label_dyn,native,front_h3,nondominated,H3,20,20,0.5125,0.946348748188176,0.509857569603775,0.9525,0.992769218454549,0.497832478330581,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",label_dyn,native,population_final,retention,FINAL,20,20,0.5125,0.285717182539391,0.582182255488889,0.248,1.1665457461255,0.545124173774225,0.285717182539391
DTLZ2,10,1,11001,"S3_(0.50,0.75]",label_dyn,native,population_h1,retention,H1,20,20,0.5125,0.946200626065484,0.518743982738034,0.935,1.0119420188656,0.564409870156896,0.946200626065484
DTLZ2,10,1,11001,"S3_(0.50,0.75]",label_dyn,native,population_h3,retention,H3,20,20,0.5125,0.848743388706873,0.517308534939845,0.841,1.00867292326352,0.518356825053714,0.848743388706873
