Problem,MeanFinalIGD,MeanRuntime
DTLZ1,71.5813441533747,346.16306872
DTLZ2,1.12068193021916,354.89616075
DTLZ3,296.432393134011,355.31807564
DTLZ4,1.04732175441115,359.777274565
DTLZ5,0.299110396966793,363.256017735
DTLZ6,7.0593624170175,351.65885646
DTLZ7,22.9995570393842,361.41421577
WFG1,5.60917862781358,364.04319258
WFG2,4.86193002431318,380.055216555
WFG3,2.74249376237397,363.22865294
WFG4,23.9986350820487,366.356030585
WFG5,22.6383802716628,360.943212155
WFG6,19.3837788417616,277.646170835
WFG7,20.466987708117,278.644899205
WFG8,20.7997707966862,269.742777495
WFG9,23.3170885962143,273.82506264
