run_global,problem,M,run_id,gen,p_err,prev_p_err,coverage,degeneracy,mean_conf,relation_mode,candidate_mode
1,DTLZ1,10,1,1,0.00888888888888889,1,0.171328671328671,0.4,0.649857008382304,curriculum,explore
1,DTLZ1,10,1,2,0.516725978647687,0.00888888888888889,0.185314685314685,0.4,0.589974035577769,weighted,conservative
1,DTLZ1,10,1,3,0.0133333333333333,0.516725978647687,0.178321678321678,0.4,0.570055013079367,curriculum,explore
1,DTLZ1,10,1,4,0.0348754448398577,0.0133333333333333,0.174825174825175,0.3,0.540156978611284,conservative,explore
1,DTLZ1,10,1,5,0.0249110320284698,0.0348754448398577,0.181818181818182,0.3,0.510220978456663,conservative,explore
1,DTLZ1,10,1,6,0.0199288256227758,0.0249110320284698,0.181818181818182,0.3,0.460379134845516,conservative,explore
1,DTLZ1,10,1,7,0.0256227758007117,0.0199288256227758,0.185314685314685,0.3,0.450392353101607,conservative,explore
1,DTLZ1,10,1,8,0.0590747330960854,0.0256227758007117,0.181818181818182,0.4,0.500225139405019,conservative,explore
1,DTLZ1,10,1,9,0.122419928825623,0.0590747330960854,0.174825174825175,0.4,0.510241602895589,conservative,explore
1,DTLZ1,10,1,10,0.0491103202846975,0.122419928825623,0.174825174825175,0.4,0.569975070890366,weighted,explore
1,DTLZ1,10,1,11,0.291814946619217,0.0491103202846975,0.181818181818182,0.3,0.560036953829275,weighted,explore
1,DTLZ1,10,1,12,0.0277580071174377,0.291814946619217,0.192307692307692,0.3,0.480293683885777,conservative,explore
1,DTLZ1,10,1,13,0.0348754448398577,0.0277580071174377,0.185314685314685,0.3,0.4902955549931,conservative,explore
1,DTLZ1,10,1,14,0.00640569395017794,0.0348754448398577,0.171328671328671,0.3,0.609914024717653,weighted,explore
1,DTLZ1,10,1,15,0.0697508896797153,0.00640569395017794,0.174825174825175,0.3,0.629842313547167,weighted,explore
1,DTLZ1,10,1,16,0.0412811387900356,0.0697508896797153,0.174825174825175,0.3,0.609928412725378,weighted,explore
1,DTLZ1,10,1,17,0.0419928825622776,0.0412811387900356,0.181818181818182,0.3,0.580001938460227,weighted,explore
1,DTLZ1,10,1,18,0.0177935943060498,0.0419928825622776,0.188811188811189,0.3,0.59000152435218,weighted,explore
1,DTLZ1,10,1,19,0.00854092526690392,0.0177935943060498,0.192307692307692,0.3,0.560104751898687,weighted,explore
1,DTLZ1,10,1,20,0.204270462633452,0.00854092526690392,0.185314685314685,0.3,0.599926343901374,weighted,explore
1,DTLZ1,10,1,21,0.195017793594306,0.204270462633452,0.178321678321678,0.3,0.570033199628372,weighted,explore
1,DTLZ1,10,1,22,0.0548042704626335,0.195017793594306,0.178321678321678,0.3,0.579919656593634,weighted,explore
1,DTLZ1,10,1,23,0.0512455516014235,0.0548042704626335,0.181818181818182,0.3,0.61974798384426,weighted,explore
1,DTLZ1,10,1,24,0.0270462633451957,0.0512455516014235,0.185314685314685,0.3,0.540090349957782,conservative,explore
1,DTLZ1,10,1,25,0.0120996441281139,0.0270462633451957,0.188811188811189,0.3,0.53012788366084,conservative,explore
