[2026-09-14 09:48:25] part 4 attempt 1 launching MATLAB (alg=REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted params=3000,0.50,0.25,0.70,6 func=run_WeightedWFG_M5D10)
[2026-09-14 09:48:31] PlatEMO root: D:\PlatEMO-master\PlatEMO-master\PlatEMO
[2026-09-14 09:48:42] WFG1: M=5 D=10 maxFE=300 (canonical index 8)
[2026-09-14 09:48:46] WFG2: M=5 D=10 maxFE=300 (canonical index 9)
[2026-09-14 09:48:46] WFG3: M=5 D=10 maxFE=300 (canonical index 10)
[2026-09-14 09:48:46] WFG4: M=5 D=10 maxFE=300 (canonical index 11)
[2026-09-14 09:48:46] WFG5: M=5 D=10 maxFE=300 (canonical index 12)
[2026-09-14 09:48:46] WFG6: M=5 D=10 maxFE=300 (canonical index 13)
[2026-09-14 09:48:46] WFG7: M=5 D=10 maxFE=300 (canonical index 14)
[2026-09-14 09:48:46] WFG8: M=5 D=10 maxFE=300 (canonical index 15)
[2026-09-14 09:48:46] WFG9: M=5 D=10 maxFE=300 (canonical index 16)
[2026-09-14 09:48:46] Algorithm REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted | parameters [3000            0.5           0.25            0.7              6]
[2026-09-14 09:48:46] SaveCount 30 | Runs 30 | M 5 | requested D 10 | N 100 | maxFE 300 | modeRunId 1 | seedBase 20260912
[2026-09-14 09:48:47] Slice 4/4 -> 67 of 270 jobs
[2026-09-14 09:50:51] [done] WFG1 run 4 seed 20768916 | IGD first 2.72223 -> final 2.24764 | runtime 120.8s | wall 121.7s | ok
[2026-09-14 09:52:53] [done] WFG1 run 8 seed 20768920 | IGD first 2.75241 -> final 2.10212 | runtime 120.1s | wall 120.5s | ok
[2026-09-14 09:55:02] [done] WFG1 run 12 seed 20768924 | IGD first 2.74925 -> final 2.07155 | runtime 127.3s | wall 127.6s | ok
[2026-09-14 09:56:53] [done] WFG1 run 16 seed 20768928 | IGD first 2.79861 -> final 2.12901 | runtime 110.0s | wall 110.3s | ok
[2026-09-14 09:58:46] [done] WFG1 run 20 seed 20768932 | IGD first 2.70543 -> final 2.06844 | runtime 111.7s | wall 112.0s | ok
[2026-09-14 10:00:42] [done] WFG1 run 24 seed 20768936 | IGD first 2.68977 -> final 2.23219 | runtime 114.5s | wall 114.9s | ok
[2026-09-14 10:02:36] [done] WFG1 run 28 seed 20768940 | IGD first 2.72324 -> final 2.16419 | runtime 111.1s | wall 111.4s | ok
[2026-09-14 10:04:34] [done] WFG2 run 2 seed 20769914 | IGD first 1.95017 -> final 0.811456 | runtime 116.5s | wall 116.9s | ok
[2026-09-14 10:06:31] [done] WFG2 run 6 seed 20769918 | IGD first 1.6895 -> final 0.830209 | runtime 115.0s | wall 115.3s | ok
[2026-09-14 10:08:27] [done] WFG2 run 10 seed 20769922 | IGD first 1.80352 -> final 0.801938 | runtime 114.2s | wall 114.5s | ok
[2026-09-14 10:10:25] [done] WFG2 run 14 seed 20769926 | IGD first 1.49045 -> final 0.698724 | runtime 115.7s | wall 116.0s | ok
[2026-09-14 10:12:21] [done] WFG2 run 18 seed 20769930 | IGD first 1.99243 -> final 0.993695 | runtime 114.5s | wall 114.8s | ok
[2026-09-14 10:14:19] [done] WFG2 run 22 seed 20769934 | IGD first 1.98339 -> final 0.80807 | runtime 115.6s | wall 115.9s | ok
[2026-09-14 10:16:14] [done] WFG2 run 26 seed 20769938 | IGD first 2.41346 -> final 0.806623 | runtime 113.6s | wall 113.9s | ok
[2026-09-14 10:18:09] [done] WFG2 run 30 seed 20769942 | IGD first 1.82716 -> final 0.779757 | runtime 113.1s | wall 113.4s | ok
[2026-09-14 10:20:00] [done] WFG3 run 4 seed 20770916 | IGD first 0.888908 -> final 0.850365 | runtime 110.1s | wall 110.5s | ok
[2026-09-14 10:21:52] [done] WFG3 run 8 seed 20770920 | IGD first 0.900881 -> final 0.758673 | runtime 112.1s | wall 112.5s | ok
[2026-09-14 10:23:43] [done] WFG3 run 12 seed 20770924 | IGD first 0.866739 -> final 0.72925 | runtime 110.6s | wall 111.1s | ok
[2026-09-14 10:25:35] [done] WFG3 run 16 seed 20770928 | IGD first 0.894015 -> final 0.807514 | runtime 110.9s | wall 111.3s | ok
[2026-09-14 10:27:27] [done] WFG3 run 20 seed 20770932 | IGD first 0.957942 -> final 0.882394 | runtime 111.7s | wall 112.1s | ok
[2026-09-14 10:29:15] [done] WFG3 run 24 seed 20770936 | IGD first 0.992008 -> final 0.870298 | runtime 108.4s | wall 108.8s | ok
[2026-09-14 10:31:06] [done] WFG3 run 28 seed 20770940 | IGD first 0.898711 -> final 0.735668 | runtime 110.6s | wall 111.0s | ok
[2026-09-14 10:32:59] [done] WFG4 run 2 seed 20771914 | IGD first 2.35652 -> final 1.34243 | runtime 111.8s | wall 112.1s | ok
[2026-09-14 10:34:46] [done] WFG4 run 6 seed 20771918 | IGD first 2.99821 -> final 1.24809 | runtime 106.9s | wall 107.3s | ok
[2026-09-14 10:36:39] [done] WFG4 run 10 seed 20771922 | IGD first 2.96087 -> final 1.37768 | runtime 112.8s | wall 113.2s | ok
[2026-09-14 10:38:41] [done] WFG4 run 14 seed 20771926 | IGD first 2.77016 -> final 1.43852 | runtime 121.9s | wall 122.3s | ok
[2026-09-14 10:40:40] [done] WFG4 run 18 seed 20771930 | IGD first 2.82831 -> final 1.27724 | runtime 118.0s | wall 118.5s | ok
[2026-09-14 10:42:37] [done] WFG4 run 22 seed 20771934 | IGD first 2.54925 -> final 1.28285 | runtime 116.3s | wall 116.7s | ok
[2026-09-14 10:44:35] [done] WFG4 run 26 seed 20771938 | IGD first 2.73768 -> final 1.36641 | runtime 117.6s | wall 118.0s | ok
[2026-09-14 10:46:29] [done] WFG4 run 30 seed 20771942 | IGD first 2.85126 -> final 1.30255 | runtime 114.0s | wall 114.3s | ok
[2026-09-14 10:48:29] [done] WFG5 run 4 seed 20772916 | IGD first 1.95318 -> final 1.28457 | runtime 119.9s | wall 120.3s | ok
[2026-09-14 10:50:28] [done] WFG5 run 8 seed 20772920 | IGD first 1.90352 -> final 1.33847 | runtime 118.4s | wall 118.8s | ok
[2026-09-14 10:52:21] [done] WFG5 run 12 seed 20772924 | IGD first 1.84802 -> final 1.25771 | runtime 112.7s | wall 113.0s | ok
[2026-09-14 10:54:15] [done] WFG5 run 16 seed 20772928 | IGD first 1.84999 -> final 1.17588 | runtime 113.3s | wall 113.7s | ok
[2026-09-14 10:56:10] [done] WFG5 run 20 seed 20772932 | IGD first 1.97953 -> final 1.24666 | runtime 114.8s | wall 115.2s | ok
[2026-09-14 10:58:05] [done] WFG5 run 24 seed 20772936 | IGD first 2.02242 -> final 1.2043 | runtime 114.8s | wall 115.2s | ok
[2026-09-14 10:59:59] [done] WFG5 run 28 seed 20772940 | IGD first 1.85937 -> final 1.25413 | runtime 113.5s | wall 113.9s | ok
[2026-09-14 11:01:48] [done] WFG6 run 2 seed 20773914 | IGD first 2.00371 -> final 1.57341 | runtime 108.7s | wall 109.1s | ok
[2026-09-14 11:03:42] [done] WFG6 run 6 seed 20773918 | IGD first 2.1834 -> final 1.55509 | runtime 113.1s | wall 113.5s | ok
