Algorithm: REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted
qKeep: 0.70; M=20; requested D=30; N=100; maxFE=300
Problems: DTLZ1, DTLZ2, DTLZ3, DTLZ4, DTLZ5, DTLZ6, DTLZ7, WFG1, WFG2, WFG3, WFG4, WFG5, WFG6, WFG7, WFG8, WFG9
Jobs: 288; workers: 6
Save folder: C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted
Already complete: 0; remaining: 288
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.
[103/288] DTLZ6 run 13: IGD=7.811428; saved
[104/288] DTLZ6 run 15: IGD=6.139433; saved
[105/288] DTLZ6 run 14: IGD=7.685734; saved
[106/288] DTLZ6 run 16: IGD=6.978733; saved
[107/288] DTLZ6 run 17: IGD=6.777724; saved
[108/288] DTLZ6 run 18: IGD=6.015134; saved
[109/288] DTLZ7 run 02: IGD=14.9363; saved
[110/288] DTLZ7 run 01: IGD=12.82991; saved
[111/288] DTLZ7 run 03: IGD=12.53455; saved
[112/288] DTLZ7 run 04: IGD=14.69295; saved
[113/288] DTLZ7 run 05: IGD=13.80112; saved
[114/288] DTLZ7 run 06: IGD=13.95878; saved
[115/288] DTLZ7 run 07: IGD=13.70964; saved
[116/288] DTLZ7 run 08: IGD=16.39207; saved
[117/288] DTLZ7 run 09: IGD=16.90081; saved
[118/288] DTLZ7 run 10: IGD=16.46294; saved
[119/288] DTLZ7 run 11: IGD=15.42385; saved
[120/288] DTLZ7 run 12: IGD=9.343176; saved
[121/288] DTLZ7 run 13: IGD=14.19989; saved
[122/288] DTLZ7 run 14: IGD=17.09395; saved
[123/288] DTLZ7 run 16: IGD=18.88304; saved
[124/288] DTLZ7 run 15: IGD=16.13818; saved
[125/288] DTLZ7 run 17: IGD=17.93338; saved
[126/288] DTLZ7 run 18: IGD=14.0364; saved
[127/288] WFG1 run 01: IGD=5.596077; saved
[128/288] WFG1 run 02: IGD=5.569233; saved
[129/288] WFG1 run 05: IGD=5.543653; saved
[130/288] WFG1 run 03: IGD=5.612781; saved
[131/288] WFG1 run 04: IGD=5.628991; saved
[132/288] WFG1 run 06: IGD=5.58588; saved
[133/288] WFG1 run 07: IGD=5.639817; saved
[134/288] WFG1 run 08: IGD=5.650401; saved
[135/288] WFG1 run 11: IGD=5.607629; saved
[136/288] WFG1 run 09: IGD=5.673657; saved
[137/288] WFG1 run 10: IGD=5.604566; saved
[138/288] WFG1 run 12: IGD=5.636578; saved
[139/288] WFG1 run 13: IGD=5.495684; saved
[140/288] WFG1 run 14: IGD=5.707151; saved
[141/288] WFG1 run 15: IGD=5.712254; saved
[142/288] WFG1 run 16: IGD=5.440086; saved
[143/288] WFG1 run 17: IGD=5.552882; saved
[144/288] WFG1 run 18: IGD=5.641648; saved
[145/288] WFG2 run 01: IGD=6.394131; saved
[146/288] WFG2 run 02: IGD=4.764997; saved
[147/288] WFG2 run 04: IGD=4.436241; saved
[148/288] WFG2 run 03: IGD=5.17107; saved
[149/288] WFG2 run 05: IGD=4.150806; saved
[150/288] WFG2 run 06: IGD=4.476749; saved
[151/288] WFG2 run 07: IGD=4.762677; saved
[152/288] WFG2 run 08: IGD=5.046233; saved
[153/288] WFG2 run 09: IGD=5.646438; saved
[154/288] WFG2 run 10: IGD=4.617636; saved
[155/288] WFG2 run 11: IGD=4.027474; saved
[156/288] WFG2 run 12: IGD=5.202436; saved
[157/288] WFG2 run 13: IGD=4.897903; saved
[158/288] WFG2 run 14: IGD=4.862854; saved
[159/288] WFG2 run 15: IGD=4.467493; saved
[160/288] WFG2 run 16: IGD=4.666983; saved
[161/288] WFG2 run 17: IGD=4.769919; saved
[162/288] WFG2 run 18: IGD=5.754132; saved
[163/288] WFG3 run 01: IGD=2.922051; saved
[164/288] WFG3 run 02: IGD=2.379042; saved
[165/288] WFG3 run 03: IGD=2.946743; saved
[166/288] WFG3 run 04: IGD=2.807587; saved
[167/288] WFG3 run 05: IGD=2.754238; saved
[168/288] WFG3 run 06: IGD=2.940252; saved
[169/288] WFG3 run 07: IGD=2.634323; saved
[170/288] WFG3 run 08: IGD=2.496833; saved
[171/288] WFG3 run 09: IGD=2.789605; saved
[172/288] WFG3 run 10: IGD=2.722365; saved
[173/288] WFG3 run 11: IGD=2.816506; saved
[174/288] WFG3 run 12: IGD=2.666463; saved
[175/288] WFG3 run 13: IGD=2.664902; saved
[176/288] WFG3 run 14: IGD=2.753211; saved
[177/288] WFG3 run 15: IGD=2.942582; saved
[178/288] WFG3 run 16: IGD=2.549918; saved
[179/288] WFG3 run 17: IGD=2.650994; saved
[180/288] WFG3 run 18: IGD=2.6599; saved
[181/288] WFG4 run 01: IGD=24.91621; saved
[182/288] WFG4 run 03: IGD=24.75648; saved
[183/288] WFG4 run 02: IGD=23.75615; saved
[184/288] WFG4 run 04: IGD=24.99173; saved
[185/288] WFG4 run 05: IGD=22.38044; saved
[186/288] WFG4 run 06: IGD=25.97999; saved
[187/288] WFG4 run 07: IGD=24.40404; saved
[188/288] WFG4 run 09: IGD=25.52666; saved
[189/288] WFG4 run 10: IGD=26.54575; saved
[190/288] WFG4 run 08: IGD=21.89369; saved
[191/288] WFG4 run 11: IGD=26.79375; saved
[192/288] WFG4 run 12: IGD=20.53684; saved
[193/288] WFG4 run 13: IGD=24.32931; saved
[194/288] WFG4 run 14: IGD=27.4998; saved
[195/288] WFG4 run 16: IGD=25.72055; saved
[196/288] WFG4 run 15: IGD=24.98513; saved
[197/288] WFG4 run 17: IGD=25.42012; saved
[198/288] WFG4 run 18: IGD=22.15891; saved
[199/288] WFG5 run 01: IGD=22.9271; saved
[200/288] WFG5 run 02: IGD=23.3016; saved
[201/288] WFG5 run 03: IGD=21.35368; saved
[202/288] WFG5 run 04: IGD=21.76136; saved
[203/288] WFG5 run 05: IGD=23.36924; saved
[204/288] WFG5 run 06: IGD=22.38154; saved
[205/288] WFG5 run 07: IGD=20.77427; saved
[206/288] WFG5 run 09: IGD=22.97782; saved
[207/288] WFG5 run 08: IGD=21.87252; saved
[208/288] WFG5 run 10: IGD=21.64637; saved
[209/288] WFG5 run 11: IGD=22.9818; saved
[210/288] WFG5 run 12: IGD=22.89304; saved
[211/288] WFG5 run 13: IGD=24.71599; saved
[212/288] WFG5 run 16: IGD=23.30747; saved
[213/288] WFG5 run 14: IGD=23.16659; saved
[214/288] WFG5 run 15: IGD=21.51635; saved
[215/288] WFG5 run 17: IGD=22.68922; saved
[216/288] WFG5 run 18: IGD=23.25774; saved
[217/288] WFG6 run 01: IGD=17.90024; saved
[218/288] WFG6 run 02: IGD=18.02405; saved
[219/288] WFG6 run 03: IGD=18.82008; saved
[220/288] WFG6 run 04: IGD=18.18492; saved
[221/288] WFG6 run 05: IGD=18.81884; saved
[222/288] WFG6 run 06: IGD=17.97501; saved
[223/288] WFG6 run 07: IGD=19.36613; saved
[224/288] WFG6 run 08: IGD=20.20006; saved
[225/288] WFG6 run 09: IGD=18.66454; saved
[226/288] WFG6 run 10: IGD=19.89558; saved
[227/288] WFG6 run 11: IGD=19.18125; saved
[228/288] WFG6 run 12: IGD=19.63455; saved
[229/288] WFG6 run 13: IGD=19.028; saved
[230/288] WFG6 run 14: IGD=19.69301; saved
[231/288] WFG6 run 15: IGD=17.52982; saved
[232/288] WFG6 run 16: IGD=18.3937; saved
[233/288] WFG6 run 17: IGD=19.31124; saved
[234/288] WFG6 run 18: IGD=20.01453; saved
[235/288] WFG7 run 01: IGD=20.87816; saved
[236/288] WFG7 run 02: IGD=18.82787; saved
[237/288] WFG7 run 03: IGD=18.67989; saved
[238/288] WFG7 run 04: IGD=19.18557; saved
[239/288] WFG7 run 05: IGD=17.79007; saved
[240/288] WFG7 run 06: IGD=20.73516; saved
[241/288] WFG7 run 07: IGD=20.70965; saved
[242/288] WFG7 run 08: IGD=21.77228; saved
[243/288] WFG7 run 09: IGD=21.25675; saved
[244/288] WFG7 run 10: IGD=20.646; saved
[245/288] WFG7 run 11: IGD=21.78024; saved
[246/288] WFG7 run 12: IGD=20.19779; saved
[247/288] WFG7 run 13: IGD=19.95495; saved
[248/288] WFG7 run 14: IGD=20.3325; saved
[249/288] WFG7 run 15: IGD=20.96702; saved
[250/288] WFG7 run 16: IGD=20.38249; saved
[251/288] WFG7 run 17: IGD=20.18136; saved
[252/288] WFG7 run 18: IGD=22.35265; saved
[253/288] WFG8 run 01: IGD=20.66321; saved
[254/288] WFG8 run 02: IGD=20.09453; saved
[255/288] WFG8 run 03: IGD=21.34996; saved
[256/288] WFG8 run 05: IGD=21.08539; saved
[257/288] WFG8 run 04: IGD=21.27636; saved
[258/288] WFG8 run 06: IGD=20.54869; saved
[259/288] WFG8 run 07: IGD=21.29571; saved
[260/288] WFG8 run 08: IGD=19.22604; saved
[261/288] WFG8 run 09: IGD=21.18497; saved
[262/288] WFG8 run 11: IGD=20.90696; saved
[263/288] WFG8 run 10: IGD=21.76004; saved
[264/288] WFG8 run 12: IGD=21.12179; saved
[265/288] WFG8 run 13: IGD=21.8374; saved
