Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
WFG5,11,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_11.mat,done,21.7692312068853,393.7143013,300,30,396.2276257
WFG5,12,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_12.mat,done,22.920904780544,381.3363677,300,30,383.6507258
WFG5,13,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_13.mat,done,24.2251009615393,370.3933135,300,30,372.5591883
WFG5,14,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_14.mat,done,23.0462233244399,363.9110003,300,30,365.8980246
WFG5,15,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_15.mat,done,23.9013557300034,352.6328341,300,30,354.6402007
WFG5,16,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_16.mat,done,22.0626813580663,351.5379164,300,30,353.5653062
WFG5,17,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_17.mat,done,22.7185959317683,348.3298186,300,30,350.249578
WFG5,18,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_18.mat,done,24.1533359748244,333.8766359,300,30,335.8291957
WFG5,19,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_19.mat,done,24.5360096647046,342.952493,300,30,344.7063585
WFG5,20,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_WFG5_M20_D30_20.mat,done,22.9757285736913,359.1848095,300,30,361.015116
