Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ5,11,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_11.mat,done,0.271615855935425,376.1257825,300,30,377.9439199
DTLZ5,12,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_12.mat,done,0.250010973128064,347.6299524,300,30,349.608179
DTLZ5,13,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_13.mat,done,0.286093024113263,346.976658,300,30,348.6456188
DTLZ5,14,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_14.mat,done,0.306408161444765,363.5769099,300,30,365.1076172
DTLZ5,15,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_15.mat,done,0.389236749308122,353.2408732,300,30,355.0039492
DTLZ5,16,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_16.mat,done,0.390325072304008,349.6257536,300,30,351.7551465
DTLZ5,17,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_17.mat,done,0.170195313568336,364.1872068,300,30,365.877216
DTLZ5,18,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_18.mat,done,0.341004143495964,381.6357883,300,30,383.5504653
DTLZ5,19,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_19.mat,done,0.353705572760625,362.7938306,300,30,364.8508191
DTLZ5,20,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ5_M20_D30_20.mat,done,0.202585852591916,388.6481802,300,30,390.4678272
