Problem,Run,File,Status,IGD,Runtime,FE,D,Seconds
DTLZ4,11,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_11.mat,done,1.10145527398484,365.1066265,300,30,366.8722088
DTLZ4,12,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_12.mat,done,0.987658803511831,352.8663205,300,30,355.0180742
DTLZ4,13,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_13.mat,done,0.988085696622224,354.3290891,300,30,356.3268808
DTLZ4,14,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_14.mat,done,1.04289125411385,353.0830024,300,30,354.984258
DTLZ4,15,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_15.mat,done,1.15716338646617,350.4775902,300,30,352.3540458
DTLZ4,16,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_16.mat,done,1.14754107589521,354.5847869,300,30,356.8945088
DTLZ4,17,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_17.mat,done,1.06393399890062,342.74154,300,30,344.7520971
DTLZ4,18,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_18.mat,done,1.0464012692071,372.038473,300,30,374.270431
DTLZ4,19,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_19.mat,done,1.04488923099588,371.8041226,300,30,373.9699488
DTLZ4,20,D:\REMOandDREMO测试集\20目标\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist\REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist_DTLZ4_M20_D30_20.mat,done,1.06740434007816,373.1471726,300,30,375.2820291
