[Gen   2 | FE= 116/ 300] p_err=0.159 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.186 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.181 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.216 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen   2 | FE= 116/ 300] p_err=0.190 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.169 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.111 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.173 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.173 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.156 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.155 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.192 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   3 | FE= 124/ 300] p_err=0.185 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.00 | n_eval=8
[Gen   4 | FE= 132/ 300] p_err=0.246 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.60 | n_eval=8
[Gen   4 | FE= 132/ 300] p_err=0.157 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=1.35 | n_eval=8
