Problem,REMO_mean,REMO_std,REMO_sym,PCSAEA_mean,PCSAEA_std,PCSAEA_sym,CSEA_mean,CSEA_std,CSEA_sym,HES_EA_mean,HES_EA_std,HES_EA_sym,SSDE_mean,SSDE_std,SSDE_sym,SAMOEATL2M_mean,SAMOEATL2M_std,SAMOEATL2M_sym,PACDIS_mean,PACDIS_std,PACDIS_sym
DTLZ1,4.0685e+1,1.50e+1,=,1.3841e+2,2.33e+1,-,4.2737e+1,1.23e+1,=,8.0751e+1,1.29e+1,-,1.1019e+2,2.33e+1,-,1.2115e+2,2.25e+1,-,4.7041e+1,9.78e+0,
DTLZ2,7.1476e-1,5.59e-2,=,1.0366e+0,3.52e-2,-,7.6517e-1,5.85e-2,-,6.8671e-1,3.34e-2,=,1.2435e+0,9.02e-2,-,8.4644e-1,2.52e-2,-,7.0057e-1,2.72e-2,
DTLZ3,1.3530e+2,3.52e+1,+,4.9694e+2,6.87e+1,-,1.5265e+2,4.15e+1,+,3.9014e+2,7.51e+1,-,5.2801e+2,6.89e+1,-,4.3707e+2,1.14e+2,-,1.8445e+2,3.73e+1,
DTLZ4,5.7162e-1,4.92e-2,=,9.2705e-1,2.77e-2,-,5.7127e-1,4.17e-2,=,6.7142e-1,6.50e-2,-,1.0861e+0,6.11e-2,-,8.6698e-1,6.23e-2,-,5.7121e-1,4.25e-2,
DTLZ5,1.5795e-1,5.31e-2,=,3.7681e-1,3.29e-2,-,1.9278e-1,5.77e-2,=,7.6285e-2,1.86e-2,+,6.2211e-1,1.06e-1,-,2.3709e-1,3.21e-2,-,1.8301e-1,6.25e-2,
DTLZ6,6.5759e+0,1.12e+0,-,8.7917e+0,3.49e-1,-,6.0725e+0,1.11e+0,=,7.2056e+0,5.33e-1,-,6.9243e+0,8.45e-1,-,9.1041e+0,2.47e-1,-,5.3861e+0,9.92e-1,
DTLZ7,1.8492e+1,2.09e+0,-,4.6790e+1,5.79e+0,-,4.2512e+1,8.23e+0,-,2.0150e+0,5.37e-2,+,3.5717e+1,6.79e+0,-,3.7550e+1,1.17e+1,-,1.6368e+1,1.28e+0,
WFG1,3.7799e+0,2.49e-1,=,4.2664e+0,9.91e-2,-,3.8317e+0,1.49e-1,=,4.1899e+0,1.02e-1,-,4.3574e+0,1.04e-1,-,4.2675e+0,9.95e-2,-,3.8483e+0,1.72e-1,
WFG2,7.1411e+0,1.64e+0,-,6.8322e+0,1.32e+0,-,7.3820e+0,1.28e+0,-,3.6120e+0,5.32e-1,-,5.1419e+0,8.63e-1,-,7.0516e+0,1.52e+0,-,2.5149e+0,7.52e-1,
WFG3,1.5755e+0,3.13e-1,+,2.3300e+0,8.52e-2,=,1.7364e+0,2.09e-1,+,2.3852e+0,8.27e-2,=,2.5881e+0,2.04e-1,-,1.6188e+0,1.29e-1,+,2.3140e+0,1.35e-1,
WFG4,2.4120e+1,2.01e+0,-,2.4259e+1,8.49e-1,-,2.5530e+1,1.21e+0,-,1.9043e+1,1.95e+0,-,1.5417e+1,1.68e+0,+,2.5472e+1,7.35e-1,-,1.7744e+1,2.02e+0,
WFG5,2.2009e+1,1.22e+0,-,2.0644e+1,6.67e-1,-,2.2993e+1,1.35e+0,-,1.6319e+1,7.44e-1,+,2.0304e+1,8.32e-1,-,2.0564e+1,8.84e-1,-,1.8122e+1,1.66e+0,
WFG6,1.9801e+1,1.36e+0,-,2.1220e+1,7.58e-1,-,2.3291e+1,1.13e+0,-,1.3703e+1,1.95e+0,=,1.8692e+1,1.62e+0,-,2.2372e+1,8.50e-1,-,1.4066e+1,1.05e+0,
WFG7,2.0149e+1,1.58e+0,-,2.1899e+1,7.30e-1,-,2.2966e+1,1.95e+0,-,2.0260e+1,6.29e-1,-,2.0229e+1,1.40e+0,-,2.3204e+1,7.10e-1,-,1.5167e+1,1.32e+0,
WFG8,2.0979e+1,1.48e+0,-,2.1410e+1,8.03e-1,-,2.3598e+1,1.16e+0,-,1.5495e+1,8.59e-1,+,1.8572e+1,1.18e+0,-,2.2670e+1,5.53e-1,-,1.6080e+1,5.87e-1,
WFG9,2.2439e+1,1.36e+0,-,2.2096e+1,7.32e-1,-,2.3468e+1,1.58e+0,-,1.8036e+1,8.98e-1,+,2.1862e+1,8.86e-1,-,2.0911e+1,1.30e+0,-,1.9220e+1,1.67e+0,
