problem,M,n_runs,n_generations,n_candidates,agree_sign_mean,agree_sign_std,conflict_rate_mean,conflict_rate_std,abstain_rate_mean,abstain_rate_std,subwin_rate_mean,subwin_rate_std,w_F_mean,w_F_std,acc_F_mean,acc_F_std,acc_S_mean,acc_S_std,acc_F_conflict_mean,acc_S_conflict_mean,p_err_F_mean,p_err_S_mean,sel_overlap_FS_mean,sel_only_F_mean,sel_only_S_mean,acc_F_nn_mean,acc_S_nn_mean,label_agree_real_nn_mean,has_real_obj_pct
DTLZ2,10,10,100,48600,0.4889,0.4999,0.5111,0.4999,0.0989,0.2986,0.0507,0.2194,0.4669,0.3337,0.5627,0.0000,0.4718,0.0000,0.5889,0.4111,0.1469,0.1853,0.0042,0.0680,0.0496,0.5559,0.4786,0.8285,100.00
DTLZ2,15,10,98,46450,0.4820,0.4997,0.5180,0.4997,0.1002,0.3003,0.0557,0.2292,0.4700,0.3430,0.5549,0.0000,0.5024,0.0000,0.5507,0.4493,0.1225,0.1951,0.0032,0.0731,0.0652,0.5434,0.5316,0.8644,100.00
DTLZ2,5,10,96,43150,0.4860,0.4998,0.5140,0.4998,0.0978,0.2970,0.0552,0.2285,0.4368,0.3274,0.5780,0.0000,0.4618,0.0000,0.6130,0.3870,0.1905,0.1619,0.0041,0.0532,0.0904,0.5635,0.5012,0.7385,100.00
DTLZ3,10,10,98,46850,0.4061,0.4911,0.5939,0.4911,0.0877,0.2829,0.0506,0.2191,0.5105,0.3456,0.5256,0.0000,0.4858,0.0000,0.5335,0.4665,0.1442,0.1852,0.0027,0.1233,0.0657,0.5438,0.5314,0.6602,100.00
DTLZ3,15,10,99,47000,0.4344,0.4957,0.5656,0.4957,0.0993,0.2991,0.0535,0.2250,0.4940,0.3459,0.5405,0.0000,0.4865,0.0000,0.5478,0.4522,0.1203,0.1832,0.0040,0.0990,0.0693,0.5584,0.5177,0.7350,100.00
DTLZ3,5,10,98,47800,0.4189,0.4934,0.5811,0.4934,0.1020,0.3026,0.0585,0.2347,0.4663,0.3234,0.4717,0.0000,0.4944,0.0000,0.4805,0.5195,0.2314,0.2221,0.0021,0.0733,0.0928,0.4770,0.5797,0.5853,100.00
