problem,M,n_candidates,n_valid,acc_F_full,acc_F_sub,acc_S_full,acc_S_sub,delta_S_sub_vs_full,delta_F_vs_S_full,delta_S_vs_F_sub,label_agree_full_sub,acc_S_sub_agree,acc_S_sub_conflict,acc_S_sub_subwin
DTLZ2,10,48600,48600,0.5627,0.5286,0.4718,0.5646,0.0928,0.0909,0.0360,0.7522,0.5953,0.5077,0.7546
DTLZ2,15,46450,46450,0.5549,0.5310,0.5024,0.5121,0.0097,0.0525,-0.0189,0.8125,0.5447,0.4450,0.6963
DTLZ2,5,43150,43150,0.5780,0.5475,0.4618,0.6077,0.1459,0.1162,0.0602,0.7061,0.6596,0.5122,0.9237
DTLZ3,10,46850,46850,0.5256,0.5063,0.4858,0.5853,0.0994,0.0398,0.0790,0.7250,0.6127,0.5422,0.8062
DTLZ3,15,47000,47000,0.5405,0.5131,0.4865,0.4996,0.0130,0.0540,-0.0136,0.8305,0.5146,0.4683,0.6228
DTLZ3,5,47800,47800,0.4717,0.5319,0.4944,0.6254,0.1309,-0.0227,0.0935,0.6614,0.6877,0.5473,0.8927
