Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 2 workers.
Pool has 2 workers; this runner uses at most 2.
[61/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 19 FE=300 IGD=1.2768012 saved
[62/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 20 FE=300 IGD=1.2498166 saved
[63/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 22 FE=300 IGD=1.0380327 saved
[64/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 21 FE=300 IGD=1.020436 saved
[65/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 24 FE=300 IGD=1.311411 saved
[66/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 23 FE=300 IGD=1.0322915 saved
[67/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 25 FE=300 IGD=1.1957847 saved
[68/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 26 FE=300 IGD=1.296122 saved
[69/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 27 FE=300 IGD=1.1472184 saved
[70/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 28 FE=300 IGD=1.2060102 saved
[71/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 30 FE=300 IGD=1.1510867 saved
[72/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ2 M10 run 29 FE=300 IGD=1.2016303 saved
[73/2208] PCSAEA_N100 DTLZ3 M10 run 19 FE=300 IGD=1374.2932 saved
[74/2208] PCSAEA_N100 DTLZ3 M10 run 20 FE=300 IGD=1360.281 saved
[75/2208] PCSAEA_N100 DTLZ3 M10 run 21 FE=300 IGD=1009.415 saved
[76/2208] PCSAEA_N100 DTLZ3 M10 run 22 FE=300 IGD=1477.1183 saved
[77/2208] PCSAEA_N100 DTLZ3 M10 run 23 FE=300 IGD=1438.3704 saved
[78/2208] PCSAEA_N100 DTLZ3 M10 run 24 FE=300 IGD=1386.6349 saved
[79/2208] PCSAEA_N100 DTLZ3 M10 run 25 FE=300 IGD=1204.9447 saved
[80/2208] PCSAEA_N100 DTLZ3 M10 run 26 FE=300 IGD=1171.2103 saved
[81/2208] PCSAEA_N100 DTLZ3 M10 run 28 FE=300 IGD=1293.7121 saved
[82/2208] PCSAEA_N100 DTLZ3 M10 run 27 FE=300 IGD=1257.0482 saved
[83/2208] PCSAEA_N100 DTLZ3 M10 run 29 FE=300 IGD=1317.0071 saved
[84/2208] PCSAEA_N100 DTLZ3 M10 run 30 FE=300 IGD=1362.8279 saved
[85/2208] KRVEA_100 DTLZ3 M10 run 20 FE=300 IGD=1033.8527 saved
[86/2208] KRVEA_100 DTLZ3 M10 run 19 FE=300 IGD=1128.1944 saved
[87/2208] KRVEA_100 DTLZ3 M10 run 21 FE=300 IGD=1009.415 saved
[88/2208] KRVEA_100 DTLZ3 M10 run 22 FE=300 IGD=942.26529 saved
[89/2208] KRVEA_100 DTLZ3 M10 run 24 FE=300 IGD=1003.0248 saved
[90/2208] KRVEA_100 DTLZ3 M10 run 23 FE=300 IGD=1073.9648 saved
[91/2208] KRVEA_100 DTLZ3 M10 run 25 FE=300 IGD=1034.969 saved
[92/2208] KRVEA_100 DTLZ3 M10 run 26 FE=300 IGD=839.03618 saved
[93/2208] KRVEA_100 DTLZ3 M10 run 28 FE=300 IGD=841.07434 saved
[94/2208] KRVEA_100 DTLZ3 M10 run 27 FE=300 IGD=1168.0883 saved
[95/2208] KRVEA_100 DTLZ3 M10 run 29 FE=300 IGD=849.11993 saved
[96/2208] KRVEA_100 DTLZ3 M10 run 30 FE=300 IGD=970.51629 saved
[97/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 19 FE=300 IGD=871.77075 saved
[98/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 20 FE=300 IGD=777.60233 saved
[99/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 22 FE=300 IGD=880.88627 saved
[100/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 21 FE=300 IGD=999.78866 saved
[101/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 24 FE=300 IGD=1031.762 saved
[102/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 23 FE=300 IGD=804.93054 saved
[103/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 26 FE=300 IGD=829.03742 saved
[104/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 25 FE=300 IGD=1017.365 saved
[105/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 28 FE=300 IGD=932.89271 saved
[106/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 27 FE=300 IGD=770.50397 saved
[107/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 29 FE=300 IGD=991.52471 saved
[108/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ3 M10 run 30 FE=300 IGD=1024.7751 saved
[109/2208] PCSAEA_N100 DTLZ4 M10 run 19 FE=300 IGD=1.7139916 saved
[110/2208] PCSAEA_N100 DTLZ4 M10 run 20 FE=300 IGD=1.6459075 saved
[111/2208] PCSAEA_N100 DTLZ4 M10 run 22 FE=300 IGD=1.6913954 saved
[112/2208] PCSAEA_N100 DTLZ4 M10 run 21 FE=300 IGD=1.6673056 saved
[113/2208] PCSAEA_N100 DTLZ4 M10 run 23 FE=300 IGD=1.667419 saved
[114/2208] PCSAEA_N100 DTLZ4 M10 run 24 FE=300 IGD=1.7573248 saved
[115/2208] PCSAEA_N100 DTLZ4 M10 run 26 FE=300 IGD=1.5914877 saved
[116/2208] PCSAEA_N100 DTLZ4 M10 run 25 FE=300 IGD=1.6678015 saved
[117/2208] PCSAEA_N100 DTLZ4 M10 run 27 FE=300 IGD=1.7776828 saved
[118/2208] PCSAEA_N100 DTLZ4 M10 run 28 FE=300 IGD=1.8210781 saved
[119/2208] PCSAEA_N100 DTLZ4 M10 run 29 FE=300 IGD=1.8093798 saved
