Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.
Pool has 6 workers; this runner uses at most 6.
[1/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 16 FE=300 IGD=14.704004 saved
[2/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 19 FE=300 IGD=12.170723 saved
[3/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 17 FE=300 IGD=13.926101 saved
[4/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 15 FE=300 IGD=14.267652 saved
[5/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 20 FE=300 IGD=14.094114 saved
[6/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 18 FE=300 IGD=12.190596 saved
[7/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 26 FE=300 IGD=15.998508 saved
[8/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 21 FE=300 IGD=9.9836702 saved
[9/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 22 FE=300 IGD=16.694124 saved
[10/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 25 FE=300 IGD=14.929295 saved
[11/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 23 FE=300 IGD=13.496505 saved
[12/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 24 FE=300 IGD=15.849317 saved
[13/892] PCSAEA_N100 WFG1 M15 run 19 FE=300 IGD=4.2965359 saved
[14/892] PCSAEA_N100 WFG1 M15 run 20 FE=300 IGD=4.2978521 saved
[15/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 29 FE=300 IGD=14.521817 saved
[16/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 27 FE=300 IGD=13.550399 saved
[17/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 30 FE=300 IGD=11.464806 saved
[18/892] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ7 M15 run 28 FE=300 IGD=10.663418 saved
[19/892] PCSAEA_N100 WFG1 M15 run 25 FE=300 IGD=4.3506871 saved
[20/892] PCSAEA_N100 WFG1 M15 run 26 FE=300 IGD=4.2618211 saved
[21/892] PCSAEA_N100 WFG1 M15 run 22 FE=300 IGD=4.3123681 saved
[22/892] PCSAEA_N100 WFG1 M15 run 23 FE=300 IGD=4.2528871 saved
[23/892] PCSAEA_N100 WFG1 M15 run 24 FE=300 IGD=4.2849107 saved
[24/892] PCSAEA_N100 WFG1 M15 run 21 FE=300 IGD=4.2903615 saved
[25/892] PCSAEA_N100 WFG1 M15 run 29 FE=300 IGD=4.2180303 saved
[26/892] PCSAEA_N100 WFG1 M15 run 30 FE=300 IGD=4.2796755 saved
[27/892] PCSAEA_N100 WFG1 M15 run 28 FE=300 IGD=4.2994567 saved
[28/892] PCSAEA_N100 WFG1 M15 run 27 FE=300 IGD=4.2743502 saved
[29/892] KRVEA_100 WFG1 M15 run 20 FE=300 IGD=4.3045021 saved
[30/892] KRVEA_100 WFG1 M15 run 19 FE=300 IGD=4.2284821 saved
[31/892] KRVEA_100 WFG1 M15 run 23 FE=300 IGD=4.1924696 saved
[32/892] KRVEA_100 WFG1 M15 run 24 FE=300 IGD=4.275879 saved
[33/892] KRVEA_100 WFG1 M15 run 26 FE=300 IGD=4.2893056 saved
[34/892] KRVEA_100 WFG1 M15 run 25 FE=300 IGD=4.2860431 saved
[35/892] KRVEA_100 WFG1 M15 run 22 FE=300 IGD=4.2845884 saved
[36/892] KRVEA_100 WFG1 M15 run 21 FE=300 IGD=4.2525013 saved
[37/892] PCSAEA_N100 WFG2 M15 run 19 FE=300 IGD=5.2409879 saved
[38/892] PCSAEA_N100 WFG2 M15 run 20 FE=300 IGD=3.7660149 saved
[39/892] KRVEA_100 WFG1 M15 run 27 FE=300 IGD=4.2577857 saved
[40/892] KRVEA_100 WFG1 M15 run 30 FE=300 IGD=4.2655543 saved
[41/892] KRVEA_100 WFG1 M15 run 28 FE=300 IGD=4.2798953 saved
[42/892] KRVEA_100 WFG1 M15 run 29 FE=300 IGD=4.2322773 saved
[43/892] PCSAEA_N100 WFG2 M15 run 21 FE=300 IGD=6.0978246 saved
[44/892] PCSAEA_N100 WFG2 M15 run 25 FE=300 IGD=6.6218457 saved
[45/892] PCSAEA_N100 WFG2 M15 run 23 FE=300 IGD=4.829809 saved
[46/892] PCSAEA_N100 WFG2 M15 run 24 FE=300 IGD=6.79773 saved
[47/892] PCSAEA_N100 WFG2 M15 run 26 FE=300 IGD=5.325163 saved
[48/892] PCSAEA_N100 WFG2 M15 run 22 FE=300 IGD=5.7685653 saved
[49/892] PCSAEA_N100 WFG2 M15 run 28 FE=300 IGD=5.4474842 saved
[50/892] PCSAEA_N100 WFG2 M15 run 30 FE=300 IGD=7.6171429 saved
[51/892] PCSAEA_N100 WFG2 M15 run 27 FE=300 IGD=6.03788 saved
[52/892] PCSAEA_N100 WFG2 M15 run 29 FE=300 IGD=6.5149431 saved
[53/892] KRVEA_100 WFG2 M15 run 19 FE=300 IGD=2.7988576 saved
[54/892] KRVEA_100 WFG2 M15 run 20 FE=300 IGD=2.9171449 saved
[55/892] KRVEA_100 WFG2 M15 run 22 FE=300 IGD=2.8065312 saved
[56/892] KRVEA_100 WFG2 M15 run 23 FE=300 IGD=2.7570038 saved
[57/892] KRVEA_100 WFG2 M15 run 26 FE=300 IGD=2.6612623 saved
[58/892] KRVEA_100 WFG2 M15 run 25 FE=300 IGD=3.2196665 saved
[59/892] KRVEA_100 WFG2 M15 run 21 FE=300 IGD=2.6255819 saved
[60/892] KRVEA_100 WFG2 M15 run 24 FE=300 IGD=2.4752061 saved
[61/892] PCSAEA_N100 WFG3 M15 run 19 FE=300 IGD=2.2705612 saved
[62/892] PCSAEA_N100 WFG3 M15 run 20 FE=300 IGD=2.1605292 saved
[63/892] KRVEA_100 WFG2 M15 run 30 FE=300 IGD=3.7244139 saved
[64/892] KRVEA_100 WFG2 M15 run 29 FE=300 IGD=2.5959084 saved
[65/892] KRVEA_100 WFG2 M15 run 28 FE=300 IGD=2.8524877 saved
[66/892] KRVEA_100 WFG2 M15 run 27 FE=300 IGD=3.039258 saved
[67/892] PCSAEA_N100 WFG3 M15 run 25 FE=300 IGD=2.2252632 saved
[68/892] PCSAEA_N100 WFG3 M15 run 22 FE=300 IGD=2.1495757 saved
