Problem,MeanFinalIGD,MeanFinalIGDp,MeanRuntime
DTLZ1,75.147129301436,75.1468518733786,322.251007795
DTLZ2,1.03490672658596,0.738506458058462,276.10919052
DTLZ3,340.21881013717,340.218190805621,270.751094035
DTLZ4,1.05472095760814,0.750624481298055,281.91055906
DTLZ5,0.171141810098937,0.112637993651658,277.53820693
DTLZ6,7.52283663884829,7.50855229068208,280.66587288
DTLZ7,2.26976560046614,1.97470999373837,292.539396355
WFG1,5.65119249796627,4.19311328526844,276.34985117
WFG2,4.61697382724221,3.45808221787123,287.16614723
WFG3,2.85702966809009,2.67595042268727,288.18322772
WFG4,21.4769715451654,18.4063443132442,270.83992454
WFG5,19.0661511257053,16.6475564789372,271.62025369
WFG6,17.7679577903674,14.3745127782885,265.93233163
WFG7,22.5642648524675,19.6917117316078,270.569928405
WFG8,17.8117912034091,14.63463818969,273.310002475
WFG9,21.6981273300459,19.3208192233844,242.136931145
