Problem,M,D,REMO,SSDE,PCSAEA,SAMOEATL2M,CSEA,HES_EA,REMO_UniformMix_Pruned_Weighted_Lambdat030_NoBatchDist,BestAlg,cnt_REMO,cnt_SSDE,cnt_PC-SAEA,cnt_SAMOEA-TL2M,cnt_CSEA,cnt_HES-EA
DTLZ1,15,30,8.4392e+1 (2.49e+1) =,1.9393e+2 (3.10e+1) -,2.3930e+2 (3.42e+1) -,2.0313e+2 (3.17e+1) -,9.6883e+1 (2.07e+1) =,1.6956e+2 (3.01e+1) -,8.8886e+1 (2.40e+1),REMO,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
DTLZ2,15,30,6.8640e-1 (5.91e-2) =,1.5363e+0 (2.00e-1) -,1.1974e+0 (5.64e-2) -,7.8171e-1 (1.81e-2) -,7.7488e-1 (5.06e-2) -,6.8679e-1 (5.28e-2) =,6.8015e-1 (3.63e-2),PACDIS,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
DTLZ3,15,30,3.1623e+2 (8.71e+1) +,8.6963e+2 (1.04e+2) -,8.6289e+2 (1.07e+2) -,8.1760e+2 (5.68e+1) -,3.2313e+2 (4.93e+1) +,6.9556e+2 (1.06e+2) -,3.6359e+2 (4.70e+1),REMO,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
DTLZ4,15,30,6.1459e-1 (4.73e-2) =,1.3889e+0 (1.27e-1) -,1.2075e+0 (4.95e-2) -,9.7789e-1 (7.82e-2) -,6.7266e-1 (6.36e-2) -,8.7470e-1 (1.04e-1) -,6.1464e-1 (5.05e-2),REMO,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
DTLZ5,15,30,3.3194e-1 (6.42e-2) -,1.0122e+0 (1.10e-1) -,6.5774e-1 (5.77e-2) -,3.0819e-1 (6.61e-2) =,3.2306e-1 (8.29e-2) =,1.3526e-1 (3.51e-2) +,2.8290e-1 (7.01e-2),HES-EA,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
DTLZ6,15,30,1.0693e+1 (1.23e+0) -,1.0941e+1 (8.36e-1) -,1.3096e+1 (3.74e-1) -,1.3659e+1 (8.80e-2) -,1.0248e+1 (1.39e+0) -,1.1823e+1 (7.84e-1) -,9.1612e+0 (1.01e+0),PACDIS,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
DTLZ7,15,30,1.6110e+1 (1.70e+0) -,3.1420e+1 (7.06e+0) -,3.9735e+1 (5.56e+0) -,4.0298e+1 (5.32e+0) -,3.3877e+1 (4.03e+0) -,1.8045e+0 (8.05e-2) +,1.3195e+1 (9.62e-1),HES-EA,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG1,15,30,3.3467e+0 (1.75e-1) =,3.8604e+0 (5.06e-2) -,3.7391e+0 (3.70e-2) -,3.7415e+0 (4.17e-2) -,3.4373e+0 (1.32e-1) =,3.6709e+0 (4.34e-2) -,3.4259e+0 (1.44e-1),REMO,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG2,15,30,4.4875e+0 (1.41e+0) -,4.0334e+0 (6.17e-1) -,5.2645e+0 (8.98e-1) -,5.5333e+0 (1.05e+0) -,5.2313e+0 (1.54e+0) -,2.4646e+0 (4.56e-1) =,2.3440e+0 (9.08e-1),PACDIS,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG3,15,30,1.4990e+0 (1.79e-1) +,2.2556e+0 (2.19e-1) -,2.0168e+0 (4.26e-2) -,1.2058e+0 (1.26e-1) +,1.5768e+0 (1.51e-1) +,2.0479e+0 (4.64e-2) -,1.9549e+0 (9.35e-2),SAMOEA-TL2M,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG4,15,30,1.3689e+1 (1.52e+0) -,8.6492e+0 (1.02e+0) +,1.4706e+1 (6.33e-1) -,1.5548e+1 (5.25e-1) -,1.5555e+1 (1.36e+0) -,1.0537e+1 (1.11e+0) -,9.7411e+0 (1.03e+0),SSDE,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG5,15,30,1.2828e+1 (8.23e-1) -,1.1703e+1 (5.71e-1) -,1.1932e+1 (5.71e-1) -,1.2040e+1 (9.74e-1) -,1.3349e+1 (1.16e+0) -,8.2389e+0 (7.23e-1) +,9.1940e+0 (1.07e+0),HES-EA,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG6,15,30,1.1351e+1 (1.24e+0) -,1.0898e+1 (1.12e+0) -,1.2419e+1 (4.04e-1) -,1.3164e+1 (4.78e-1) -,1.3317e+1 (1.08e+0) -,5.7338e+0 (1.77e+0) =,6.6398e+0 (9.28e-1),HES-EA,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG7,15,30,1.1749e+1 (1.23e+0) -,1.1610e+1 (1.28e+0) -,1.2920e+1 (3.75e-1) -,1.3704e+1 (5.16e-1) -,1.4066e+1 (1.16e+0) -,1.1182e+1 (6.26e-1) -,7.3747e+0 (7.24e-1),PACDIS,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG8,15,30,1.2727e+1 (6.74e-1) -,1.0721e+1 (1.39e+0) -,1.2772e+1 (4.89e-1) -,1.3719e+1 (3.99e-1) -,1.4182e+1 (8.81e-1) -,7.3139e+0 (1.56e+0) +,8.8951e+0 (9.43e-1),HES-EA,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
WFG9,15,30,1.3879e+1 (1.23e+0) -,1.2630e+1 (6.13e-1) -,1.2901e+1 (5.93e-1) -,1.1310e+1 (1.36e+0) -,1.4428e+1 (7.02e-1) -,9.4436e+0 (8.76e-1) +,1.0386e+1 (1.45e+0),HES-EA,2/10/4,1/15/0,0/16/0,1/14/1,2/11/3,5/8/3
