round,FEbefore,nCandidates,nRetained,target,lambdaT,meanReward,overlap,meanAbsRankShift,firstChanged,setChanged,orderChanged
1,100,3024,907,6,0,0.294429904957613,1,0,0,0,0
2,124,3024,907,6,0,0.287823661596872,1,0,0,0,0
3,130,3024,907,6,0,0.254484675696498,1,0,0,0,0
4,148,3024,907,6,0,0.379448550332906,1,0,0,0,0
5,172,3024,907,6,0,0.363524110270946,1,0,0,0,0
6,178,3024,907,6,0,0.265489366557102,1,0,0,0,0
7,184,3024,907,6,0,0.321398066655067,1,0,0,0,0
8,208,3024,907,6,0,0.298639401355753,1,0,0,0,0
9,214,3024,907,6,0,0.501927463615427,1,0,0,0,0
10,220,3024,907,6,0,0.520193743498633,1,0,0,0,0
11,226,3024,907,6,0,0.526195976829632,1,0,0,0,0
12,232,3024,907,6,0,0.407961764908087,1,0,0,0,0
13,250,3024,907,6,0,0.26499784349333,1,0,0,0,0
14,256,3024,907,6,0,0.343582033019674,1,0,0,0,0
15,262,3024,907,6,0,0.301206225678278,1,0,0,0,0
16,268,3024,907,6,0,0.316413509532535,1,0,0,0,0
17,274,3024,907,6,0,0.414381388440125,1,0,0,0,0
18,286,3024,907,6,0,0.640233583892539,1,0,0,0,0
19,298,3024,907,2,0,0.22165482706737,1,0,0,0,0
