round,FEbefore,nCandidates,nRetained,target,lambdaT,meanReward,overlap,meanAbsRankShift,firstChanged,setChanged,orderChanged
1,100,3024,907,6,0.133333333333333,0.234039091210955,0,31.226019845645,1,1,1
2,124,3024,907,6,0.117333333333333,0.366790424077054,0,31.0253583241455,1,1,1
3,130,3024,907,6,0.113333333333333,0.271638846225747,0,45.6141124586549,1,1,1
4,148,3024,907,6,0.101333333333333,0.310366718781628,0.333333333333333,14.9305402425579,1,1,1
5,172,3024,907,6,0.0853333333333333,0.224067307066074,0.166666666666667,29.9073869900772,1,1,1
6,178,3024,907,6,0.0813333333333333,0.230817211907663,0.166666666666667,24.3748621830209,1,1,1
7,184,3024,907,6,0.0773333333333334,0.362654958634085,0.333333333333333,17.4663726571114,1,1,1
8,208,3024,907,6,0.0613333333333333,0.497094329984251,0.833333333333333,25.1444321940463,1,1,1
9,214,3024,907,6,0.0573333333333333,0.446894132032289,0,31.587651598677,1,1,1
10,220,3024,907,6,0.0533333333333333,0.366665967701029,0,23.0275633958104,1,1,1
11,226,3024,907,6,0.0493333333333333,0.378711631982776,0.333333333333333,7.62513781697905,1,1,1
12,232,3024,907,6,0.0453333333333333,0.342508954127139,0.333333333333333,3.55457552370452,1,1,1
13,250,3024,907,6,0.0333333333333333,0.520488941128044,1,1.85667034178611,0,0,0
14,256,3024,907,6,0.0293333333333333,0.390942820107194,0.333333333333333,3.37816979051819,1,1,1
15,262,3024,907,6,0.0253333333333333,0.411914281154502,0,37.1532524807056,1,1,1
16,268,3024,907,6,0.0213333333333333,0.2440952288696,0.166666666666667,18.1896361631753,1,1,1
17,274,3022,907,6,0.0173333333333333,0.249042464378235,0.5,7.36934950385888,1,1,1
18,286,3024,907,6,0.00933333333333333,0.23299108191541,0.166666666666667,25.109151047409,1,1,1
19,298,3024,907,2,0.00133333333333334,0.1653885855563,0.5,7.01433296582139,1,1,1
