Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
WFG3,2,"S4_(0.75,1.00]",population_final,AUC,score_hybrid,anchor_margin,1,1,0.591093117408907,0.744939271255061,-0.153846153846154,-0.153846153846154,-20.6521739130435,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,AUC,score_v,anchor_margin,1,1,0.461538461538462,0.744939271255061,-0.283400809716599,-0.283400809716599,-38.0434782608696,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Lift,score_hybrid,score_v,1,1,1.26315789473684,0.631578947368421,0.631578947368421,0.631578947368421,100,NaN,1,1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Lift,score_hybrid,anchor_margin,1,1,1.26315789473684,1.26315789473684,0,0,0,NaN,0.5,0,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_final,Lift,score_v,anchor_margin,1,1,0.631578947368421,1.26315789473684,-0.631578947368421,-0.631578947368421,-50,NaN,0,-1,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,Precision,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,Precision,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,Precision,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,AUC,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,AUC,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,AUC,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,Lift,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,Lift,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h1,Lift,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,Precision,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,Precision,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,Precision,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,AUC,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,AUC,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,AUC,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,Lift,score_hybrid,score_v,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,Lift,score_hybrid,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
WFG3,2,"S4_(0.75,1.00]",population_h3,Lift,score_v,anchor_margin,1,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
