Problem,MeanFinalIGD,MeanRuntime
DTLZ1,208.65478851306,394.383825965
DTLZ2,1.06693649791904,404.86092918
DTLZ3,883.424216189613,401.563406125
DTLZ4,1.12868142101177,408.919551085
DTLZ5,0.591546625457509,409.621068415
DTLZ6,15.2098191868355,392.62647024
DTLZ7,12.2159450188135,391.648424605
WFG1,3.1931720887772,403.1138045
WFG2,2.01029781161385,417.26891094
WFG3,1.68590453018969,390.799072135
WFG4,6.57237580290325,392.842668975
WFG5,5.91952164915372,388.59676675
WFG6,5.31399845362946,298.961357375
WFG7,5.36202060131422,293.87594644
WFG8,5.66927930796299,287.50781265
WFG9,6.24305785244603,291.438961805
